"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia TALARA (000)",3598,674,2924
"De 14 a 29 años (001)",1829,547,1282
"De 30 a 44 años (002)",957,98,859
"De 45 a 64 años (003)",729,29,700
"De 65 y más años (004)",83,,83
"Hombres (005)",2678,417,2261
"De 14 a 29 años (006)",1277,341,936
"De 30 a 44 años (007)",703,57,646
"De 45 a 64 años (008)",621,19,602
"De 65 y más años (009)",77,,77
"Mujeres (010)",920,257,663
"De 14 a 29 años (011)",552,206,346
"De 30 a 44 años (012)",254,41,213
"De 45 a 64 años (013)",108,10,98
"De 65 y más años (014)",6,,6
,,,
"AREA URBANA (015)",3553,668,2885
"De 14 a 29 años (016)",1801,542,1259
"De 30 a 44 años (017)",948,97,851
"De 45 a 64 años (018)",724,29,695
"De 65 y más años (019)",80,,80
"Hombres (020)",2639,412,2227
"De 14 a 29 años (021)",1253,337,916
"De 30 a 44 años (022)",696,56,640
"De 45 a 64 años (023)",616,19,597
"De 65 y más años (024)",74,,74
"Mujeres (025)",914,256,658
"De 14 a 29 años (026)",548,205,343
"De 30 a 44 años (027)",252,41,211
"De 45 a 64 años (028)",108,10,98
"De 65 y más años (029)",6,,6
,,,
"AREA RURAL (030)",45,6,39
"De 14 a 29 años (031)",28,5,23
"De 30 a 44 años (032)",9,1,8
"De 45 a 64 años (033)",5,,5
"De 65 y más años (034)",3,,3
"Hombres (035)",39,5,34
"De 14 a 29 años (036)",24,4,20
"De 30 a 44 años (037)",7,1,6
"De 45 a 64 años (038)",5,,5
"De 65 y más años (039)",3,,3
"Mujeres (040)",6,1,5
"De 14 a 29 años (041)",4,1,3
"De 30 a 44 años (042)",2,,2
