"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia LAMPA (000)",30299,29884,415
"Hombres (001)",14971,14818,153
"Mujeres (002)",15328,15066,262
"De 18 a 29 años (003)",10159,9976,183
"Hombres (004)",5182,5094,88
"Mujeres (005)",4977,4882,95
"De 30 a 44 años (006)",8883,8846,37
"Hombres (007)",4424,4409,15
"Mujeres (008)",4459,4437,22
"De 45 a 64 años (009)",7354,7304,50
"Hombres (010)",3539,3520,19
"Mujeres (011)",3815,3784,31
"De 65 y más años (012)",3903,3758,145
"Hombres (013)",1826,1795,31
"Mujeres (014)",2077,1963,114
,,,
"URBANA (015)",11476,11335,141
"Hombres (016)",5573,5527,46
"Mujeres (017)",5903,5808,95
"De 18 a 29 años (018)",4287,4221,66
"Hombres (019)",2109,2081,28
"Mujeres (020)",2178,2140,38
"De 30 a 44 años (021)",3577,3569,8
"Hombres (022)",1717,1715,2
"Mujeres (023)",1860,1854,6
"De 45 a 64 años (024)",2467,2445,22
"Hombres (025)",1232,1221,11
"Mujeres (026)",1235,1224,11
"De 65 y más años (027)",1145,1100,45
"Hombres (028)",515,510,5
"Mujeres (029)",630,590,40
,,,
"RURAL (030)",18823,18549,274
"Hombres (031)",9398,9291,107
"Mujeres (032)",9425,9258,167
"De 18 a 29 años (033)",5872,5755,117
"Hombres (034)",3073,3013,60
"Mujeres (035)",2799,2742,57
"De 30 a 44 años (036)",5306,5277,29
"Hombres (037)",2707,2694,13
"Mujeres (038)",2599,2583,16
"De 45 a 64 años (039)",4887,4859,28
"Hombres (040)",2307,2299,8
"Mujeres (041)",2580,2560,20
"De 65 y más años (042)",2758,2658,100
"Hombres (043)",1311,1285,26
"Mujeres (044)",1447,1373,74
