"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia BONGARA (000)",7074,6827,23,1438,1395,1076,1531,833,392,139,247,24342
"De 12 a 14 años (001)",10,4,1,3,,,,,,,6,3
"De 15 a 19 años (002)",273,238,3,198,30,6,1,,,,35,280
"De 20 a 24 años (003)",777,697,2,444,188,52,10,1,,,80,1025
"De 25 a 29 años (004)",854,816,1,306,299,133,72,5,,,38,1644
"De 30 a 34 años (005)",871,852,,153,282,213,171,33,,,19,2285
"De 35 a 39 años (006)",927,909,5,121,236,187,252,82,22,4,18,2990
"De 40 a 44 años (007)",756,739,3,60,121,154,246,108,44,3,17,2941
"De 45 a 49 años (008)",605,601,,36,70,103,194,124,58,16,4,2801
"De 50 y más años (009)",2001,1971,8,117,169,228,585,480,268,116,30,10373
"PEA (010)",2136,2049,5,447,480,359,442,202,86,28,87,6754
"De 12 a 14 años (011)",2,,,,,,,,,,2,
"De 15 a 19 años (012)",48,45,,37,7,1,,,,,3,54
"De 20 a 24 años (013)",153,122,1,92,25,3,1,,,,31,155
"De 25 a 29 años (014)",249,230,,105,80,33,12,,,,19,417
"De 30 a 34 años (015)",285,274,,62,100,69,39,4,,,11,656
"De 35 a 39 años (016)",360,353,,68,115,65,81,17,6,1,7,1013
"De 40 a 44 años (017)",282,273,2,28,62,61,88,21,11,,9,947
"De 45 a 49 años (018)",227,225,,24,32,56,59,40,12,2,2,893
"De 50 y más años (019)",530,527,2,31,59,71,162,120,57,25,3,2619
"Ocupada (020)",2100,2016,5,437,474,354,437,197,85,27,84,6646
"De 12 a 14 años (021)",2,,,,,,,,,,2,
"De 15 a 19 años (022)",48,45,,37,7,1,,,,,3,54
