"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia ASCOPE (000)",46014,39567,6447
"De 3 a 5 años (001)",6075,739,5336
"De 6 a 11 años (002)",12647,11910,737
"De 12 a 16 años (003)",11412,11299,113
"De 17 a 24 años (004)",15880,15619,261
"Hombres (005)",23494,20146,3348
"De 3 a 5 años (006)",3153,373,2780
"De 6 a 11 años (007)",6426,6039,387
"De 12 a 16 años (008)",5758,5700,58
"De 17 a 24 años (009)",8157,8034,123
"Mujeres (010)",22520,19421,3099
"De 3 a 5 años (011)",2922,366,2556
"De 6 a 11 años (012)",6221,5871,350
"De 12 a 16 años (013)",5654,5599,55
"De 17 a 24 años (014)",7723,7585,138
,,,
"URBANA (015)",40238,34764,5474
"De 3 a 5 años (016)",5276,687,4589
"De 6 a 11 años (017)",11141,10559,582
"De 12 a 16 años (018)",10048,9959,89
"De 17 a 24 años (019)",13773,13559,214
"Hombres (020)",20525,17674,2851
"De 3 a 5 años (021)",2747,351,2396
"De 6 a 11 años (022)",5664,5361,303
"De 12 a 16 años (023)",5059,5012,47
"De 17 a 24 años (024)",7055,6950,105
"Mujeres (025)",19713,17090,2623
"De 3 a 5 años (026)",2529,336,2193
"De 6 a 11 años (027)",5477,5198,279
"De 12 a 16 años (028)",4989,4947,42
"De 17 a 24 años (029)",6718,6609,109
,,,
"RURAL (030)",5776,4803,973
"De 3 a 5 años (031)",799,52,747
"De 6 a 11 años (032)",1506,1351,155
"De 12 a 16 años (033)",1364,1340,24
"De 17 a 24 años (034)",2107,2060,47
"Hombres (035)",2969,2472,497
"De 3 a 5 años (036)",406,22,384
"De 6 a 11 años (037)",762,678,84
"De 12 a 16 años (038)",699,688,11
"De 17 a 24 años (039)",1102,1084,18
"Mujeres (040)",2807,2331,476
"De 3 a 5 años (041)",393,30,363
"De 6 a 11 años (042)",744,673,71
"De 12 a 16 años (043)",665,652,13
"De 17 a 24 años (044)",1005,976,29
