"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia CARAVELI (000)",14763,7285,174,237,6415,255,26,23,1,347
"Hombres (001)",5326,3707,103,152,1001,136,18,18,1,190
"Mujeres (002)",9437,3578,71,85,5414,119,8,5,,157
"De 06 a 14 años (003)",5829,5661,,,87,49,1,2,,29
"Hombres (004)",3018,2942,,,39,24,1,1,,11
"Mujeres (005)",2811,2719,,,48,25,,1,,18
"De 15 a 29 años (006)",3965,1586,2,49,2188,,11,5,1,123
"Hombres (007)",1119,750,,29,262,,7,5,1,65
"Mujeres (008)",2846,836,2,20,1926,,4,,,58
"De 30 a 44 años (009)",2151,30,2,44,1964,,10,5,,96
"Hombres (010)",373,11,1,31,257,,9,5,,59
"Mujeres (011)",1778,19,1,13,1707,,1,,,37
"De 45 a 64 años (012)",1513,7,40,45,1348,6,3,4,,60
"Hombres (013)",336,4,18,32,242,3,1,3,,33
"Mujeres (014)",1177,3,22,13,1106,3,2,1,,27
"De 65 y más años (015)",1305,1,130,99,828,200,1,7,,39
"Hombres (016)",480,,84,60,201,109,,4,,22
"Mujeres (017)",825,1,46,39,627,91,1,3,,17
,,,,,,,,,,
"AREA URBANA (018)",10583,5399,139,155,4418,170,19,18,1,264
"Hombres (019)",3950,2729,81,86,796,91,12,15,1,139
"Mujeres (020)",6633,2670,58,69,3622,79,7,3,,125
"De 06 a 14 años (021)",4246,4132,,,69,21,1,1,,22
"Hombres (022)",2196,2143,,,32,12,1,1,,7
"Mujeres (023)",2050,1989,,,37,9,,,,15
"De 15 a 29 años (024)",2772,1234,2,32,1401,,9,4,1,89
"Hombres (025)",854,573,,15,209,,5,4,1,47
"Mujeres (026)",1918,661,2,17,1192,,4,,,42
"De 30 a 44 años (027)",1564,26,,29,1429,,6,3,,71
"Hombres (028)",292,9,,18,213,,5,3,,44
"Mujeres (029)",1272,17,,11,1216,,1,,,27
"De 45 a 64 años (030)",1074,6,31,27,949,5,2,4,,50
"Hombres (031)",255,4,14,18,188,2,1,3,,25
"Mujeres (032)",819,2,17,9,761,3,1,1,,25
"De 65 y más años (033)",927,1,106,67,570,144,1,6,,32
"Hombres (034)",353,,67,35,154,77,,4,,16
"Mujeres (035)",574,1,39,32,416,67,1,2,,16
,,,,,,,,,,
"AREA RURAL (036)",4180,1886,35,82,1997,85,7,5,,83
"Hombres (037)",1376,978,22,66,205,45,6,3,,51
"Mujeres (038)",2804,908,13,16,1792,40,1,2,,32
"De 06 a 14 años (039)",1583,1529,,,18,28,,1,,7
"Hombres (040)",822,799,,,7,12,,,,4
"Mujeres (041)",761,730,,,11,16,,1,,3
"De 15 a 29 años (042)",1193,352,,17,787,,2,1,,34
"Hombres (043)",265,177,,14,53,,2,1,,18
"Mujeres (044)",928,175,,3,734,,,,,16
"De 30 a 44 años (045)",587,4,2,15,535,,4,2,,25
"Hombres (046)",81,2,1,13,44,,4,2,,15
"Mujeres (047)",506,2,1,2,491,,,,,10
"De 45 a 64 años (048)",439,1,9,18,399,1,1,,,10
"Hombres (049)",81,,4,14,54,1,,,,8
"Mujeres (050)",358,1,5,4,345,,1,,,2
"De 65 y más años (051)",378,,24,32,258,56,,1,,7
"Hombres (052)",127,,17,25,47,32,,,,6
"Mujeres (053)",251,,7,7,211,24,,1,,1
