"CUADRO Nº 30: POBLACIÓN OCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia SAN PABLO (000)",5851,679,1169,2831,24,1073,75
"Conviviente (001)",2311,216,517,1235,8,321,14
"Separado(a) (002)",202,18,41,120,,16,7
"Casado(a) (003)",1763,280,297,964,9,205,8
"Viudo(a) (004)",169,4,29,115,2,12,7
"Divorciado(a) (005)",15,2,4,9,,,
"Soltero(a) (006)",1391,159,281,388,5,519,39
"Hombres (008)",4563,412,1054,2343,18,732,4
"Conviviente (009)",1934,137,484,1100,7,206,
"Separado(a) (010)",66,4,19,39,,4,
"Casado(a) (011)",1450,184,275,874,7,110,
"Viudo(a) (012)",88,1,17,63,1,6,
"Divorciado(a) (013)",9,1,3,5,,,
"Soltero(a) (014)",1016,85,256,262,3,406,4
"Mujeres (016)",1288,267,115,488,6,341,71
"Conviviente (017)",377,79,33,135,1,115,14
"Separado(a) (018)",136,14,22,81,,12,7
"Casado(a) (019)",313,96,22,90,2,95,8
"Viudo(a) (020)",81,3,12,52,1,6,7
"Divorciado(a) (021)",6,1,1,4,,,
"Soltero(a) (022)",375,74,25,126,2,113,35
,,,,,,,
"URBANA (024)",1178,447,228,398,8,72,25
"Conviviente (025)",412,140,108,138,3,18,5
"Separado(a) (026)",52,10,8,27,,4,3
"Casado(a) (027)",415,206,62,129,5,13,
"Viudo(a) (028)",27,1,4,17,,1,4
"Divorciado(a) (029)",3,2,,1,,,
"Soltero(a) (030)",269,88,46,86,,36,13
"Hombres (032)",743,251,199,248,7,38,
"Conviviente (033)",278,79,94,91,3,11,
"Separado(a) (034)",12,2,4,5,,1,
"Casado(a) (035)",289,126,57,95,4,7,
"Viudo(a) (036)",8,,2,6,,,
"Divorciado(a) (037)",1,1,,,,,
"Soltero(a) (038)",155,43,42,51,,19,
"Mujeres (040)",435,196,29,150,1,34,25
"Conviviente (041)",134,61,14,47,,7,5
"Separado(a) (042)",40,8,4,22,,3,3
"Casado(a) (043)",126,80,5,34,1,6,
"Viudo(a) (044)",19,1,2,11,,1,4
"Divorciado(a) (045)",2,1,,1,,,
"Soltero(a) (046)",114,45,4,35,,17,13
,,,,,,,
"RURAL (048)",4673,232,941,2433,16,1001,50
"Conviviente (049)",1899,76,409,1097,5,303,9
"Separado(a) (050)",150,8,33,93,,12,4
"Casado(a) (051)",1348,74,235,835,4,192,8
"Viudo(a) (052)",142,3,25,98,2,11,3
"Divorciado(a) (053)",12,,4,8,,,
"Soltero(a) (054)",1122,71,235,302,5,483,26
"Hombres (056)",3820,161,855,2095,11,694,4
"Conviviente (057)",1656,58,390,1009,4,195,
"Separado(a) (058)",54,2,15,34,,3,
"Casado(a) (059)",1161,58,218,779,3,103,
"Viudo(a) (060)",80,1,15,57,1,6,
"Divorciado(a) (061)",8,,3,5,,,
"Soltero(a) (062)",861,42,214,211,3,387,4
"Mujeres (064)",853,71,86,338,5,307,46
"Conviviente (065)",243,18,19,88,1,108,9
"Separado(a) (066)",96,6,18,59,,9,4
"Casado(a) (067)",187,16,17,56,1,89,8
"Viudo(a) (068)",62,2,10,41,1,5,3
"Divorciado(a) (069)",4,,1,3,,,
"Soltero(a) (070)",261,29,21,91,2,96,22
