"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia JORGE BASADRE (000)",7389,7288,101
"Hombres (001)",4652,4572,80
"Mujeres (002)",2737,2716,21
"De 18 a 29 años (003)",2472,2395,77
"Hombres (004)",1573,1505,68
"Mujeres (005)",899,890,9
"De 30 a 44 años (006)",2548,2544,4
"Hombres (007)",1568,1566,2
"Mujeres (008)",980,978,2
"De 45 a 64 años (009)",1892,1889,3
"Hombres (010)",1244,1241,3
"Mujeres (011)",648,648,
"De 65 y más años (012)",477,460,17
"Hombres (013)",267,260,7
"Mujeres (014)",210,200,10
,,,
"URBANA (015)",4702,4626,76
"Hombres (016)",3072,3007,65
"Mujeres (017)",1630,1619,11
"De 18 a 29 años (018)",1665,1599,66
"Hombres (019)",1110,1050,60
"Mujeres (020)",555,549,6
"De 30 a 44 años (021)",1649,1646,3
"Hombres (022)",1035,1033,2
"Mujeres (023)",614,613,1
"De 45 a 64 años (024)",1199,1198,1
"Hombres (025)",823,822,1
"Mujeres (026)",376,376,
"De 65 y más años (027)",189,183,6
"Hombres (028)",104,102,2
"Mujeres (029)",85,81,4
,,,
"RURAL (030)",2687,2662,25
"Hombres (031)",1580,1565,15
"Mujeres (032)",1107,1097,10
"De 18 a 29 años (033)",807,796,11
"Hombres (034)",463,455,8
"Mujeres (035)",344,341,3
"De 30 a 44 años (036)",899,898,1
"Hombres (037)",533,533,
"Mujeres (038)",366,365,1
"De 45 a 64 años (039)",693,691,2
"Hombres (040)",421,419,2
"Mujeres (041)",272,272,
"De 65 y más años (042)",288,277,11
"Hombres (043)",163,158,5
"Mujeres (044)",125,119,6
