"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUACAYBAMBA (000)",4423,3870,231,141,181
"Agric., ganadería, caza y silvicultura (001)",3138,3055,75,6,2
"Pesca (002)",2,2,,,
"Explotación de minas y canteras (003)",10,7,2,,1
"Industrias manufactureras (004)",59,56,3,,
"Suministro de electricidad, gas y agua (005)",1,,1,,
"Construcción (006)",140,87,19,34,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",248,242,6,,
"Venta, mant.y rep. veh.autom y motoc. (008)",2,2,,,
"Comercio al por mayor (009)",13,13,,,
"Comercio al por menor (010)",233,227,6,,
"Hoteles y restaurantes (011)",37,35,2,,
"Trans., almac. y comunicaciones (012)",34,32,1,1,
"Intermediación financiera (013)",2,,,,2
"Activid.inmobil., empres. y alquileres (014)",13,5,3,5,
"Admin.pub. y defensa; p. segur soc.afil (015)",125,,,,125
"Enseñanza (016)",386,162,114,94,16
"Servicios sociales y de salud (017)",37,2,,,35
"Otras activ. serv.comun.soc y personales (018)",14,12,2,,
"Hogares privados con servicio doméstico (019)",83,83,,,
"Actividad economica no especificada (021)",94,90,3,1,
"Hombres (022)",3670,3243,181,104,142
"Agric., ganadería, caza y silvicultura (023)",2886,2809,70,5,2
"Pesca (024)",2,2,,,
"Explotación de minas y canteras (025)",9,6,2,,1
"Industrias manufactureras (026)",54,51,3,,
"Suministro de electricidad, gas y agua (027)",1,,1,,
"Construcción (028)",140,87,19,34,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",127,123,4,,
"Venta, mant.y rep. veh.autom y motoc. (030)",2,2,,,
"Comercio al por mayor (031)",10,10,,,
"Comercio al por menor (032)",115,111,4,,
"Hoteles y restaurantes (033)",5,5,,,
"Trans., almac. y comunicaciones (034)",29,27,1,1,
"Intermediación financiera (035)",2,,,,2
"Activid.inmobil., empres. y alquileres (036)",11,5,2,4,
"Admin.pub. y defensa; p. segur soc.afil (037)",112,,,,112
"Enseñanza (038)",229,87,76,59,7
"Servicios sociales y de salud (039)",20,2,,,18
"Otras activ. serv.comun.soc y personales (040)",4,2,2,,
"Hogares privados con servicio doméstico (041)",17,17,,,
"Actividad economica no especificada (043)",22,20,1,1,
"Mujeres (044)",753,627,50,37,39
"Agric., ganadería, caza y silvicultura (045)",252,246,5,1,
