"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia HUAYLAS (000)",13886,148,5119,4976,1644,542,229,98,9,,1121
"Sin Nivel (001)",4972,84,1865,1840,492,182,82,48,4,,375
"Educación Inicial (002)",43,2,24,14,1,1,,,,,1
"Primaria (003)",5505,49,2305,1954,539,148,76,31,4,,399
"Secundaria (004)",1814,11,697,640,205,56,17,7,,,181
"Sup. no Univ. Incompleta (005)",264,1,56,105,50,12,6,,1,,33
"Sup. no Univ. Completa (006)",757,1,104,265,217,77,25,6,,,62
"Sup. Univ. Incompleta (007)",143,,31,55,23,12,5,,,,17
"Sup. Univ. Completa (008)",388,,37,103,117,54,18,6,,,53
,,,,,,,,,,,
"URBANA (010)",4903,43,1621,1653,776,260,124,42,3,,381
"Sin Nivel (011)",728,16,288,229,76,36,25,9,,,49
"Educación Inicial (012)",4,1,2,1,,,,,,,
"Primaria (013)",1674,16,708,549,201,52,32,17,2,,97
"Secundaria (014)",1127,8,423,410,137,32,15,5,,,97
"Sup. no Univ. Incompleta (015)",215,1,47,88,41,9,6,,1,,22
"Sup. no Univ. Completa (016)",656,1,89,229,188,68,25,5,,,51
"Sup. Univ. Incompleta (017)",139,,29,54,23,11,5,,,,17
"Sup. Univ. Completa (018)",360,,35,93,110,52,16,6,,,48
,,,,,,,,,,,
"RURAL (020)",8983,105,3498,3323,868,282,105,56,6,,740
"Sin Nivel (021)",4244,68,1577,1611,416,146,57,39,4,,326
"Educación Inicial (022)",39,1,22,13,1,1,,,,,1
"Primaria (023)",3831,33,1597,1405,338,96,44,14,2,,302
"Secundaria (024)",687,3,274,230,68,24,2,2,,,84
"Sup. no Univ. Incompleta (025)",49,,9,17,9,3,,,,,11
"Sup. no Univ. Completa (026)",101,,15,36,29,9,,1,,,11
"Sup. Univ. Incompleta (027)",4,,2,1,,1,,,,,
"Sup. Univ. Completa (028)",28,,2,10,7,2,2,,,,5
