"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia HUALGAYOC (000)",23760,256,9125,8468,2384,776,322,98,14,,2317
"Catolica (001)",16950,179,6354,6054,1759,602,236,75,9,,1682
"Cristiana / Evangelica (002)",5069,51,2044,1817,460,135,64,20,4,,474
"Otra (003)",744,16,313,242,71,14,13,2,,,73
"Ninguna (004)",997,10,414,355,94,25,9,1,1,,88
,,,,,,,,,,,
"URBANA (006)",5347,58,1864,1783,625,220,105,31,4,,657
"Catolica (007)",3580,35,1195,1203,461,164,73,21,3,,425
"Cristiana / Evangelica (008)",1266,15,482,421,120,43,25,8,1,,151
"Otra (009)",303,5,106,98,28,10,5,2,,,49
"Ninguna (010)",198,3,81,61,16,3,2,,,,32
,,,,,,,,,,,
"RURAL (012)",18413,198,7261,6685,1759,556,217,67,10,,1660
"Catolica (013)",13370,144,5159,4851,1298,438,163,54,6,,1257
"Cristiana / Evangelica (014)",3803,36,1562,1396,340,92,39,12,3,,323
"Otra (015)",441,11,207,144,43,4,8,,,,24
"Ninguna (016)",799,7,333,294,78,22,7,1,1,,56
