"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia HUALLAGA (000)",22807,1209,5548,4341,3623,3240,2188,1226,1432
"Quechua (001)",31,,,5,1,3,6,5,11
"Aymara (002)",3,1,1,,,1,,,
"Ashaninca (003)",1,,1,,,,,,
"Otra lengua nativa (004)",2,,1,1,,,,,
"Castellano (005)",22733,1205,5536,4329,3616,3229,2177,1221,1420
"Idioma extranjero (006)",1,,,,1,,,,
"Es sordomudo/a (007)",36,3,9,6,5,7,5,,1
"Hombres (009)",12114,624,2892,2229,1940,1786,1210,699,734
"Quechua (010)",14,,,1,,1,2,4,6
"Aymara (011)",2,1,,,,1,,,
"Otra lengua nativa (013)",2,,1,1,,,,,
"Castellano (014)",12073,621,2883,2224,1937,1780,1206,695,727
"Idioma extranjero (015)",1,,,,1,,,,
"Es sordomudo/a (016)",22,2,8,3,2,4,2,,1
"Mujeres (018)",10693,585,2656,2112,1683,1454,978,527,698
"Quechua (019)",17,,,4,1,2,4,1,5
"Aymara (020)",1,,1,,,,,,
"Ashaninca (021)",1,,1,,,,,,
"Castellano (023)",10660,584,2653,2105,1679,1449,971,526,693
"Es sordomudo/a (025)",14,1,1,3,3,3,3,,
,,,,,,,,,
"URBANA (027)",12604,524,2754,2189,1820,2043,1416,794,1064
"Quechua (028)",15,,,2,,1,2,4,6
"Aymara (029)",1,,,,,1,,,
"Otra lengua nativa (031)",1,,,1,,,,,
"Castellano (032)",12568,522,2747,2185,1818,2038,1411,790,1057
"Idioma extranjero (033)",1,,,,1,,,,
"Es sordomudo/a (034)",18,2,7,1,1,3,3,,1
"Hombres (036)",6461,264,1411,1106,895,1072,756,439,518
"Quechua (037)",9,,,1,,,1,3,4
"Aymara (038)",1,,,,,1,,,
"Otra lengua nativa (040)",1,,,1,,,,,
"Castellano (041)",6436,263,1405,1103,893,1070,753,436,513
"Idioma extranjero (042)",1,,,,1,,,,
"Es sordomudo/a (043)",13,1,6,1,1,1,2,,1
"Mujeres (045)",6143,260,1343,1083,925,971,660,355,546
"Quechua (046)",6,,,1,,1,1,1,2
"Castellano (050)",6132,259,1342,1082,925,968,658,354,544
"Es sordomudo/a (052)",5,1,1,,,2,1,,
,,,,,,,,,
"RURAL (054)",10203,685,2794,2152,1803,1197,772,432,368
"Quechua (055)",16,,,3,1,2,4,1,5
"Aymara (056)",2,1,1,,,,,,
"Ashaninca (057)",1,,1,,,,,,
"Otra lengua nativa (058)",1,,1,,,,,,
"Castellano (059)",10165,683,2789,2144,1798,1191,766,431,363
"Es sordomudo/a (061)",18,1,2,5,4,4,2,,
"Hombres (063)",5653,360,1481,1123,1045,714,454,260,216
"Quechua (064)",5,,,,,1,1,1,2
"Aymara (065)",1,1,,,,,,,
"Otra lengua nativa (067)",1,,1,,,,,,
"Castellano (068)",5637,358,1478,1121,1044,710,453,259,214
"Es sordomudo/a (070)",9,1,2,2,1,3,,,
"Mujeres (072)",4550,325,1313,1029,758,483,318,172,152
"Quechua (073)",11,,,3,1,1,3,,3
"Aymara (074)",1,,1,,,,,,
"Ashaninca (075)",1,,1,,,,,,
"Castellano (077)",4528,325,1311,1023,754,481,313,172,149
"Es sordomudo/a (079)",9,,,3,3,1,2,,
