"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia LA MAR (000)",44808,43297,1511
"Hombres (001)",23060,22360,700
"Mujeres (002)",21748,20937,811
"De 18 a 29 años (003)",15608,14822,786
"Hombres (004)",8373,7900,473
"Mujeres (005)",7235,6922,313
"De 30 a 44 años (006)",15039,14875,164
"Hombres (007)",7777,7706,71
"Mujeres (008)",7262,7169,93
"De 45 a 64 años (009)",9894,9722,172
"Hombres (010)",4910,4850,60
"Mujeres (011)",4984,4872,112
"De 65 y más años (012)",4267,3878,389
"Hombres (013)",2000,1904,96
"Mujeres (014)",2267,1974,293
,,,
"URBANA (015)",18781,18226,555
"Hombres (016)",9587,9341,246
"Mujeres (017)",9194,8885,309
"De 18 a 29 años (018)",6832,6497,335
"Hombres (019)",3546,3356,190
"Mujeres (020)",3286,3141,145
"De 30 a 44 años (021)",6660,6593,67
"Hombres (022)",3421,3402,19
"Mujeres (023)",3239,3191,48
"De 45 a 64 años (024)",3941,3880,61
"Hombres (025)",2013,1994,19
"Mujeres (026)",1928,1886,42
"De 65 y más años (027)",1348,1256,92
"Hombres (028)",607,589,18
"Mujeres (029)",741,667,74
,,,
"RURAL (030)",26027,25071,956
"Hombres (031)",13473,13019,454
"Mujeres (032)",12554,12052,502
"De 18 a 29 años (033)",8776,8325,451
"Hombres (034)",4827,4544,283
"Mujeres (035)",3949,3781,168
"De 30 a 44 años (036)",8379,8282,97
"Hombres (037)",4356,4304,52
"Mujeres (038)",4023,3978,45
"De 45 a 64 años (039)",5953,5842,111
"Hombres (040)",2897,2856,41
"Mujeres (041)",3056,2986,70
"De 65 y más años (042)",2919,2622,297
"Hombres (043)",1393,1315,78
"Mujeres (044)",1526,1307,219
