"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia SANCHEZ CARRION",,,,,,
"Viviendas particulares (001)",29513,28757,629,103,22,2
"Ocupantes presentes (002)",135592,128623,5312,1296,325,36
"Casa independiente",,,,,,
"Viviendas particulares (004)",28491,27761,610,99,21,
"Ocupantes presentes (005)",130998,124293,5144,1248,313,
"Departamento en edificio",,,,,,
"Viviendas particulares (007)",11,7,4,,,
"Ocupantes presentes (008)",60,23,37,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (010)",45,42,1,1,,1
"Ocupantes presentes (011)",190,153,8,11,,18
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",86,70,11,3,1,1
"Ocupantes presentes (014)",418,261,90,37,12,18
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",869,868,1,,,
"Ocupantes presentes (017)",3884,3869,15,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (019)",3,2,1,,,
"Ocupantes presentes (020)",18,7,11,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",8,7,1,,,
"Ocupantes presentes (023)",24,17,7,,,
"Otro tipo",,,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",7454,6820,518,92,22,2
"Ocupantes presentes (029)",35959,30082,4357,1159,325,36
"Casa independiente",,,,,,
"Viviendas particulares (031)",7305,6696,500,88,21,
"Ocupantes presentes (032)",35254,29626,4204,1111,313,
"Departamento en edificio",,,,,,
"Viviendas particulares (034)",11,7,4,,,
"Ocupantes presentes (035)",60,23,37,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (037)",45,42,1,1,,1
"Ocupantes presentes (038)",190,153,8,11,,18
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",86,70,11,3,1,1
"Ocupantes presentes (041)",418,261,90,37,12,18
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (046)",3,2,1,,,
"Ocupantes presentes (047)",18,7,11,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (049)",4,3,1,,,
"Ocupantes presentes (050)",19,12,7,,,
"Otro tipo",,,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",22059,21937,111,11,,
"Ocupantes presentes (056)",99633,98541,955,137,,
"Casa independiente",,,,,,
"Viviendas particulares (058)",21186,21065,110,11,,
"Ocupantes presentes (059)",95744,94667,940,137,,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",869,868,1,,,
"Ocupantes presentes (071)",3884,3869,15,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (076)",4,4,,,,
"Ocupantes presentes (077)",5,5,,,,
"Otro tipo",,,,,,
