"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia AYABACA (000)",45560,156893,136798,,3165,87.2,2
"De 12 a 14 años (001)",5745,23,23,,5,100,21.7
"De 15 a 19 años (002)",6299,1245,1209,390,97.1,31.3,
"De 20 a 24 años (003)",4552,5563,5363,774,96.4,13.9,
"De 25 a 29 años (004)",4207,9613,9223,725,95.9,7.5,
"De 30 a 34 años (005)",3923,13072,12478,557,95.5,4.3,
"De 35 a 39 años (006)",3824,16712,15686,453,93.9,2.7,
"De 40 a 44 años (007)",3317,17732,16181,216,91.3,1.2,
"De 45 a 49 años (008)",2876,17251,15411,45,89.3,0.3,
"De 50 y más años (009)",10817,75682,61224,,80.9,,
"PEA (010)",5118,15032,13599,250,90.5,1.7,
"De 12 a 14 años (011)",135,1,1,,100,,
"De 15 a 19 años (012)",503,58,56,18,96.6,31,
"De 20 a 24 años (013)",582,431,416,58,96.5,13.5,
"De 25 a 29 años (014)",609,838,817,57,97.5,6.8,
"De 30 a 34 años (015)",592,1222,1186,43,97.1,3.5,
"De 35 a 39 años (016)",645,2004,1925,52,96.1,2.6,
"De 40 a 44 años (017)",502,1957,1856,18,94.8,0.9,
"De 45 a 49 años (018)",448,1965,1816,4,92.4,0.2,
"De 50 y más años (019)",1102,6556,5526,,84.3,,
"Ocupada (020)",4845,14765,13350,237,90.4,1.6,
"De 12 a 14 años (021)",111,1,1,,100,,
"De 15 a 19 años (022)",426,54,52,16,96.3,29.6,
"De 20 a 24 años (023)",519,402,388,54,96.5,13.4,
"De 25 a 29 años (024)",566,799,780,52,97.6,6.5,
"De 30 a 34 años (025)",574,1183,1148,43,97,3.6,
"De 35 a 39 años (026)",621,1957,1878,50,96,2.6,
"De 40 a 44 años (027)",497,1949,1848,18,94.8,0.9,
"De 45 a 49 años (028)",440,1933,1785,4,92.3,0.2,
"De 50 y más años (029)",1091,6487,5470,,84.3,,
"Desocupada (030)",273,267,249,13,93.3,4.9,
"De 12 a 14 años (031)",24,,,,,,
"De 15 a 19 años (032)",77,4,4,2,100,50,
"De 20 a 24 años (033)",63,29,28,4,96.6,13.8,
"De 25 a 29 años (034)",43,39,37,5,94.9,12.8,
"De 30 a 34 años (035)",18,39,38,,97.4,,
"De 35 a 39 años (036)",24,47,47,2,100,4.3,
