"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia SAN IGNACIO (000)",40477,39234,11629,4667,4245,3626,5418,4016,5633,1243
"Católica (001)",34144,33057,9863,3963,3534,3036,4533,3370,4758,1087
"Cristiana/Evangélica (002)",3952,3856,1063,409,453,354,555,427,595,96
"Otra (003)",1455,1419,433,156,153,126,208,153,190,36
"Ninguna (004)",926,902,270,139,105,110,122,66,90,24
,,,,,,,,,,
"URBANA (006)",7397,7094,2440,980,920,679,911,527,637,303
"Católica (007)",6547,6276,2163,878,808,615,788,463,561,271
"Cristiana/Evangélica (008)",470,453,143,49,66,37,71,40,47,17
"Otra (009)",269,258,100,35,30,15,35,20,23,11
"Ninguna (010)",111,107,34,18,16,12,17,4,6,4
,,,,,,,,,,
"RURAL (012)",33080,32140,9189,3687,3325,2947,4507,3489,4996,940
"Católica (013)",27597,26781,7700,3085,2726,2421,3745,2907,4197,816
"Cristiana/Evangélica (014)",3482,3403,920,360,387,317,484,387,548,79
"Otra (015)",1186,1161,333,121,123,111,173,133,167,25
"Ninguna (016)",815,795,236,121,89,98,105,62,84,20
