"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia TUMBES",,,,,,,,,
"Hogares (001)",35344,1211,417,294,250,144,170,97,32761
"Ocupantes presentes (002)",139811,4638,1443,991,954,635,760,609,129781
"Casa independiente",,,,,,,,,
"Hogares (004)",33713,1166,396,274,227,138,166,90,31256
"Ocupantes presentes (005)",135232,4530,1389,930,867,608,752,587,125569
"Departamento en edificio",,,,,,,,,
"Hogares (007)",367,13,5,3,4,2,1,2,337
"Ocupantes presentes (008)",1110,27,12,7,15,10,3,2,1034
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",917,25,14,12,14,3,2,4,843
"Ocupantes presentes (011)",2313,64,36,34,51,12,4,11,2101
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",97,2,1,2,2,1,,,89
"Ocupantes presentes (014)",357,7,5,12,12,5,,,316
"Choza o cabaña",,,,,,,,,
"Hogares (016)",22,1,,1,,,,,20
"Ocupantes presentes (017)",86,1,,1,,,,,84
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",74,1,1,,2,,,,70
"Ocupantes presentes (020)",240,3,1,,5,,,,231
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",35,1,,,1,,,1,32
"Ocupantes presentes (023)",100,1,,,4,,,9,86
"Otro tipo",,,,,,,,,
"Hogares (025)",119,2,,2,,,1,,114
"Ocupantes presentes (026)",373,5,,7,,,1,,360
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",32534,1155,403,281,248,141,153,94,30059
"Ocupantes presentes (029)",128578,4414,1394,947,946,626,686,588,118977
"Casa independiente",,,,,,,,,
"Hogares (031)",30926,1111,382,262,225,135,149,87,28575
"Ocupantes presentes (032)",124089,4307,1340,887,859,599,678,566,114853
"Departamento en edificio",,,,,,,,,
"Hogares (034)",367,13,5,3,4,2,1,2,337
"Ocupantes presentes (035)",1110,27,12,7,15,10,3,2,1034
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",917,25,14,12,14,3,2,4,843
"Ocupantes presentes (038)",2313,64,36,34,51,12,4,11,2101
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",97,2,1,2,2,1,,,89
"Ocupantes presentes (041)",357,7,5,12,12,5,,,316
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",74,1,1,,2,,,,70
"Ocupantes presentes (047)",240,3,1,,5,,,,231
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",34,1,,,1,,,1,31
"Ocupantes presentes (050)",96,1,,,4,,,9,82
"Otro tipo",,,,,,,,,
"Hogares (052)",119,2,,2,,,1,,114
"Ocupantes presentes (053)",373,5,,7,,,1,,360
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",2810,56,14,13,2,3,17,3,2702
"Ocupantes presentes (056)",11233,224,49,44,8,9,74,21,10804
"Casa independiente",,,,,,,,,
"Hogares (058)",2787,55,14,12,2,3,17,3,2681
"Ocupantes presentes (059)",11143,223,49,43,8,9,74,21,10716
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",22,1,,1,,,,,20
"Ocupantes presentes (071)",86,1,,1,,,,,84
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",1,,,,,,,,1
"Ocupantes presentes (077)",4,,,,,,,,4
"Otro tipo",,,,,,,,,
