"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia SECHURA (000)",62319,61213,850,256
"Hombres (001)",31233,30730,378,125
"Mujeres (002)",31086,30483,472,131
"Menores de 1 año (003)",1668,1343,248,77
"Hombres (004)",808,652,118,38
"Mujeres (005)",860,691,130,39
"De 1 a 5 años (006)",8609,7938,505,166
"Hombres (007)",4354,4039,230,85
"Mujeres (008)",4255,3899,275,81
"De 6 a 14 años (009)",12190,12173,12,5
"Hombres (010)",6134,6126,6,2
"Mujeres (011)",6056,6047,6,3
"De 15 a 29 años (012)",18074,18070,3,1
"Hombres (013)",8878,8877,1,
"Mujeres (014)",9196,9193,2,1
"De 30 a 44 años (015)",11213,11204,6,3
"Hombres (016)",5634,5632,2,
"Mujeres (017)",5579,5572,4,3
"De 45 a 64 años (018)",7545,7530,14,1
"Hombres (019)",3896,3894,2,
"Mujeres (020)",3649,3636,12,1
"De 65 a más años (021)",3020,2955,62,3
"Hombres (022)",1529,1510,19,
"Mujeres (023)",1491,1445,43,3
,,,,
"URBANA (024)",58497,57464,801,232
"Hombres (025)",29225,28751,356,118
"Mujeres (026)",29272,28713,445,114
"Menores de 1 año (027)",1560,1264,230,66
"Hombres (028)",747,607,107,33
"Mujeres (029)",813,657,123,33
"De 1 a 5 años (030)",8129,7492,482,155
"Hombres (031)",4120,3817,220,83
"Mujeres (032)",4009,3675,262,72
"De 6 a 14 años (033)",11428,11413,11,4
"Hombres (034)",5749,5741,6,2
"Mujeres (035)",5679,5672,5,2
"De 15 a 29 años (036)",16909,16906,3,
"Hombres (037)",8260,8259,1,
"Mujeres (038)",8649,8647,2,
"De 30 a 44 años (039)",10596,10588,5,3
"Hombres (040)",5302,5300,2,
"Mujeres (041)",5294,5288,3,3
"De 45 a 64 años (042)",7054,7040,13,1
"Hombres (043)",3628,3626,2,
"Mujeres (044)",3426,3414,11,1
"De 65 a más años (045)",2821,2761,57,3
"Hombres (046)",1419,1401,18,
"Mujeres (047)",1402,1360,39,3
,,,,
"RURAL (048)",3822,3749,49,24
"Hombres (049)",2008,1979,22,7
"Mujeres (050)",1814,1770,27,17
"Menores de 1 año (051)",108,79,18,11
"Hombres (052)",61,45,11,5
"Mujeres (053)",47,34,7,6
"De 1 a 5 años (054)",480,446,23,11
"Hombres (055)",234,222,10,2
"Mujeres (056)",246,224,13,9
"De 6 a 14 años (057)",762,760,1,1
"Hombres (058)",385,385,,
"Mujeres (059)",377,375,1,1
"De 15 a 29 años (060)",1165,1164,,1
"Hombres (061)",618,618,,
"Mujeres (062)",547,546,,1
"De 30 a 44 años (063)",617,616,1,
"Hombres (064)",332,332,,
"Mujeres (065)",285,284,1,
"De 45 a 64 años (066)",491,490,1,
"Hombres (067)",268,268,,
"Mujeres (068)",223,222,1,
"De 65 a más años (069)",199,194,5,
"Hombres (070)",110,109,1,
"Mujeres (071)",89,85,4,
