"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia UTCUBAMBA (000)",100252,15130,2645,51662,24089,1810,2301,864,1751
"Jefe o Jefa (001)",26024,2889,9,14289,6025,548,1009,319,936
"Esposa(o)/ compa¤era(o) (002)",18028,3375,16,9687,3626,312,522,114,376
"Hijo(a)/ hijastro(a) (003)",43762,6466,2152,22062,11309,689,501,315,268
"Yerno/ nuera (004)",1259,54,,524,540,39,44,25,33
"Nieto(a) (005)",4217,1065,339,2044,703,30,15,13,8
"Padres/ suegros (006)",801,409,,335,34,3,13,5,2
"Otro(a) pariente (007)",4835,739,119,2208,1393,134,118,51,73
"Trabajador(a) del hogar (008)",159,10,,74,67,3,2,2,1
"Pensionista (009)",77,7,,18,23,4,11,4,10
"Otro(a) no pariente (010)",1090,116,10,421,369,48,66,16,44
"Hombres (012)",51918,5913,1352,27324,13779,895,1142,500,1013
"Jefe o Jefa (013)",20961,1543,7,12086,5124,423,757,254,767
"Esposa(o)/ compa¤era(o) (014)",584,33,2,278,188,19,33,15,16
"Hijo(a)/ hijastro(a) (015)",23804,3304,1100,11865,6693,334,209,164,135
"Yerno/ nuera (016)",524,13,,210,230,16,19,15,21
"Nieto(a) (017)",2240,550,179,1060,416,16,10,3,6
"Padres/ suegros (018)",273,56,,182,22,1,9,3,
"Otro(a) pariente (019)",2794,339,60,1343,855,63,60,36,38
"Trabajador(a) del hogar (020)",19,2,,5,10,,1,,1
"Pensionista (021)",54,4,,16,16,2,8,4,4
"Otro(a) no pariente (022)",665,69,4,279,225,21,36,6,25
"Mujeres (024)",48334,9217,1293,24338,10310,915,1159,364,738
"Jefe o Jefa (025)",5063,1346,2,2203,901,125,252,65,169
"Esposa(o)/ compa¤era(o) (026)",17444,3342,14,9409,3438,293,489,99,360
"Hijo(a)/ hijastro(a) (027)",19958,3162,1052,10197,4616,355,292,151,133
"Yerno/ nuera (028)",735,41,,314,310,23,25,10,12
"Nieto(a) (029)",1977,515,160,984,287,14,5,10,2
"Padres/ suegros (030)",528,353,,153,12,2,4,2,2
"Otro(a) pariente (031)",2041,400,59,865,538,71,58,15,35
"Trabajador(a) del hogar (032)",140,8,,69,57,3,1,2,
"Pensionista (033)",23,3,,2,7,2,3,,6
"Otro(a) no pariente (034)",425,47,6,142,144,27,30,10,19
,,,,,,,,,
"URBANA (036)",42967,4562,1175,18018,13591,1467,1894,708,1552
"Jefe o Jefa (037)",11867,829,3,5013,3630,456,824,274,838
"Esposa(o)/ compa¤era(o) (038)",7445,765,5,3318,2205,263,452,97,340
"Hijo(a)/ hijastro(a) (039)",17299,2012,920,7190,5773,522,413,240,229
"Yerno/ nuera (040)",559,12,,150,291,29,29,21,27
"Nieto(a) (041)",1895,437,170,841,394,26,11,10,6
"Padres/ suegros (042)",414,165,,203,27,2,11,4,2
"Otro(a) pariente (043)",2582,275,71,994,916,119,98,45,64
"Trabajador(a) del hogar (044)",138,7,,62,61,3,2,2,1
"Pensionista (045)",58,2,,14,18,4,9,3,8
