"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia AYMARAES (000)",8055,238,3935,2323,676,206,83,28,3,,563
"Conviviente (001)",1891,38,884,580,174,53,17,9,,,136
"Separado(a) (002)",311,10,150,88,28,10,7,1,,,17
"Casado(a) (003)",4223,113,2186,1243,332,83,45,13,2,,206
"Viudo(a) (004)",1233,69,614,333,104,41,11,4,1,,56
"Divorciado(a) (005)",29,3,12,11,,2,,,,,1
"Soltero(a) (006)",368,5,89,68,38,17,3,1,,,147
,,,,,,,,,,,
"URBANA (008)",3575,88,1580,1097,365,106,51,16,1,,271
"Conviviente (009)",903,22,385,292,90,25,11,5,,,73
"Separado(a) (010)",153,5,60,52,19,6,4,1,,,6
"Casado(a) (011)",1784,35,852,562,176,45,26,7,1,,80
"Viudo(a) (012)",515,21,236,153,53,20,7,2,,,23
"Divorciado(a) (013)",11,2,4,4,,1,,,,,
"Soltero(a) (014)",209,3,43,34,27,9,3,1,,,89
,,,,,,,,,,,
"RURAL (016)",4480,150,2355,1226,311,100,32,12,2,,292
"Conviviente (017)",988,16,499,288,84,28,6,4,,,63
"Separado(a) (018)",158,5,90,36,9,4,3,,,,11
"Casado(a) (019)",2439,78,1334,681,156,38,19,6,1,,126
"Viudo(a) (020)",718,48,378,180,51,21,4,2,1,,33
"Divorciado(a) (021)",18,1,8,7,,1,,,,,1
"Soltero(a) (022)",159,2,46,34,11,8,,,,,58
