"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia PUERTO INCA (000)",9214,27141,24830,,766,91.5,2.8
"De 12 a 14 años (001)",1191,16,15,,8,93.8,50
"De 15 a 19 años (002)",1435,591,575,142,97.3,24,
"De 20 a 24 años (003)",1217,1761,1715,211,97.4,12,
"De 25 a 29 años (004)",1111,2587,2510,166,97,6.4,
"De 30 a 34 años (005)",913,3093,2976,112,96.2,3.6,
"De 35 a 39 años (006)",877,3845,3624,82,94.3,2.1,
"De 40 a 44 años (007)",693,3613,3369,38,93.2,1.1,
"De 45 a 49 años (008)",529,3210,2936,7,91.5,0.2,
"De 50 y más años (009)",1248,8425,7110,,84.4,,
"PEA (010)",2070,6617,6113,119,92.4,1.8,
"De 12 a 14 años (011)",78,4,4,2,100,50,
"De 15 a 19 años (012)",250,106,105,23,99.1,21.7,
"De 20 a 24 años (013)",269,322,312,30,96.9,9.3,
"De 25 a 29 años (014)",294,554,540,27,97.5,4.9,
"De 30 a 34 años (015)",279,816,787,18,96.4,2.2,
"De 35 a 39 años (016)",246,915,862,13,94.2,1.4,
"De 40 a 44 años (017)",203,1009,953,4,94.4,0.4,
"De 45 a 49 años (018)",155,910,847,2,93.1,0.2,
"De 50 y más años (019)",296,1981,1703,,86,,
"Ocupada (020)",1928,6411,5923,110,92.4,1.7,
"De 12 a 14 años (021)",68,2,2,,100,,
"De 15 a 19 años (022)",210,100,99,19,99,19,
"De 20 a 24 años (023)",241,305,295,30,96.7,9.8,
"De 25 a 29 años (024)",276,536,523,27,97.6,5,
"De 30 a 34 años (025)",265,789,761,16,96.5,2,
"De 35 a 39 años (026)",238,901,849,12,94.2,1.3,
"De 40 a 44 años (027)",199,990,938,4,94.7,0.4,
"De 45 a 49 años (028)",147,865,807,2,93.3,0.2,
"De 50 y más años (029)",284,1923,1649,,85.8,,
"Desocupada (030)",142,206,190,9,92.2,4.4,
"De 12 a 14 años (031)",10,2,2,2,100,100,
"De 15 a 19 años (032)",40,6,6,4,100,66.7,
"De 20 a 24 años (033)",28,17,17,,100,,
"De 25 a 29 años (034)",18,18,17,,94.4,,
"De 30 a 34 años (035)",14,27,26,2,96.3,7.4,
"De 35 a 39 años (036)",8,14,13,1,92.9,7.1,
"De 40 a 44 años (037)",4,19,15,,78.9,,
