"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia PAUCARTAMBO (000)",41696,11178,1621,21500,6442,299,354,102,200
"Jefe o Jefa (001)",11416,2900,47,6327,1725,106,157,37,117
"Esposa(o)/ compa¤era(o) (002)",7864,3331,70,3572,734,45,69,15,28
"Hijo(a)/ hijastro(a) (003)",19033,3822,1349,10160,3421,126,88,40,27
"Yerno/ nuera (004)",260,35,2,108,87,6,10,4,8
"Nieto(a) (005)",813,239,86,408,78,1,,,1
"Padres/ suegros (006)",546,433,,99,13,,,1,
"Otro(a) pariente (007)",1385,353,62,666,267,9,16,4,8
"Trabajador(a) del hogar (008)",45,10,,17,18,,,,
"Pensionista (009)",4,1,,1,2,,,,
"Otro(a) no pariente (010)",330,54,5,142,97,6,14,1,11
"Hombres (012)",20898,3938,757,11559,4099,180,179,65,121
"Jefe o Jefa (013)",8799,1547,29,5438,1473,81,115,30,86
"Esposa(o)/ compa¤era(o) (014)",557,90,1,302,137,10,5,5,7
"Hijo(a)/ hijastro(a) (015)",9934,1893,654,5101,2137,76,37,22,14
"Yerno/ nuera (016)",86,9,1,31,32,4,3,2,4
"Nieto(a) (017)",416,122,41,200,53,,,,
"Padres/ suegros (018)",168,99,,62,6,,,1,
"Otro(a) pariente (019)",712,147,28,331,181,5,12,4,4
"Trabajador(a) del hogar (020)",13,2,,3,8,,,,
"Pensionista (021)",3,1,,,2,,,,
"Otro(a) no pariente (022)",210,28,3,91,70,4,7,1,6
"Mujeres (024)",20798,7240,864,9941,2343,119,175,37,79
"Jefe o Jefa (025)",2617,1353,18,889,252,25,42,7,31
"Esposa(o)/ compa¤era(o) (026)",7307,3241,69,3270,597,35,64,10,21
"Hijo(a)/ hijastro(a) (027)",9099,1929,695,5059,1284,50,51,18,13
"Yerno/ nuera (028)",174,26,1,77,55,2,7,2,4
"Nieto(a) (029)",397,117,45,208,25,1,,,1
"Padres/ suegros (030)",378,334,,37,7,,,,
"Otro(a) pariente (031)",673,206,34,335,86,4,4,,4
"Trabajador(a) del hogar (032)",32,8,,14,10,,,,
"Pensionista (033)",1,,,1,,,,,
"Otro(a) no pariente (034)",120,26,2,51,27,2,7,,5
,,,,,,,,,
"URBANA (036)",7570,1220,295,3133,2212,219,273,74,144
"Jefe o Jefa (037)",2238,311,12,904,709,75,117,23,87
"Esposa(o)/ compa¤era(o) (038)",1269,264,9,542,327,32,63,13,19
"Hijo(a)/ hijastro(a) (039)",3213,486,239,1334,939,92,71,31,21
"Yerno/ nuera (040)",72,1,1,15,32,6,9,2,6
"Nieto(a) (041)",180,46,20,82,30,1,,,1
"Padres/ suegros (042)",75,47,,21,6,,,1,
"Otro(a) pariente (043)",323,44,12,150,98,7,6,4,2
"Trabajador(a) del hogar (044)",29,2,,14,13,,,,
"Pensionista (045)",1,,,,1,,,,
"Otro(a) no pariente (046)",170,19,2,71,57,6,7,,8
"Hombres (048)",3686,416,148,1477,1256,126,129,44,90
"Jefe o Jefa (049)",1499,92,6,620,553,57,87,19,65
