"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia ALTO AMAZONAS (000)",103588,2979,40640,26069,17844,12329,3727
"Casa independiente (001)",74026,1912,27400,18910,13146,9522,3136
"Departamento en edificio (002)",71,1,20,23,15,9,3
"Vivienda en quinta (003)",936,29,260,326,206,93,22
"Vivienda en casa de vecindad (004)",260,7,99,63,51,28,12
"Choza o cabaña (005)",27721,1005,12640,6591,4312,2635,538
"Vivienda improvisada (006)",467,19,196,113,92,33,14
"Local no destinado para hab.humana (007)",90,5,23,35,18,7,2
"Otro tipo (008)",17,1,2,8,4,2,
,,,,,,,
"URBANA (009)",61796,1533,21978,16190,11240,8120,2735
"Casa independiente (010)",59974,1471,21382,15634,10856,7949,2682
"Departamento en edificio (011)",71,1,20,23,15,9,3
"Vivienda en quinta (012)",936,29,260,326,206,93,22
"Vivienda en casa de vecindad (013)",260,7,99,63,51,28,12
"Vivienda improvisada (015)",467,19,196,113,92,33,14
"Local no destinado para hab.humana (016)",71,5,19,23,16,6,2
"Otro tipo (017)",17,1,2,8,4,2,
,,,,,,,
"RURAL (018)",41792,1446,18662,9879,6604,4209,992
"Casa independiente (019)",14052,441,6018,3276,2290,1573,454
"Choza o cabaña (023)",27721,1005,12640,6591,4312,2635,538
"Local no destinado para hab.humana (025)",19,,4,12,2,1,
