"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia ICA (000)",179,170,9
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",115,112,3
"Casa pensión (003)",11,10,1
"Hospital, clinica (004)",7,7,
"Cárcel, centro de readaptación social (005)",2,2,
"Asilo (006)",2,2,
"Aldea infantil, orfelinato, etc (007)",1,1,
"Otro (008)",29,25,4
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",12,11,1
