"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CONCEPCION (000)",16319,155,5599,5723,2027,693,309,84,24,,1705
"Sin Nivel (001)",2959,44,1073,943,368,139,79,33,9,,271
"Educación Inicial (002)",26,2,7,12,2,,,,,,3
"Primaria (003)",6579,66,2706,2286,691,214,117,30,6,,463
"Secundaria (004)",4236,35,1503,1612,444,117,48,7,4,,466
"Sup. no Univ. Incompleta (005)",602,1,114,246,92,22,4,2,,,121
"Sup. no Univ. Completa (006)",906,2,100,323,229,74,17,5,1,,155
"Sup. Univ. Incompleta (007)",306,2,45,111,41,18,7,3,1,,78
"Sup. Univ. Completa (008)",705,3,51,190,160,109,37,4,3,,148
,,,,,,,,,,,
"URBANA (010)",8821,75,2695,3066,1245,446,189,53,15,,1037
"Sin Nivel (011)",995,20,346,292,128,52,27,14,4,,112
"Educación Inicial (012)",10,1,2,3,2,,,,,,2
"Primaria (013)",2884,24,1142,969,343,116,63,22,3,,202
"Secundaria (014)",2772,23,940,1063,323,85,39,6,4,,289
"Sup. no Univ. Incompleta (015)",490,1,98,195,76,22,4,1,,,93
"Sup. no Univ. Completa (016)",780,2,85,280,200,61,16,4,1,,131
"Sup. Univ. Incompleta (017)",270,2,36,97,38,16,7,3,,,71
"Sup. Univ. Completa (018)",620,2,46,167,135,94,33,3,3,,137
,,,,,,,,,,,
"RURAL (020)",7498,80,2904,2657,782,247,120,31,9,,668
"Sin Nivel (021)",1964,24,727,651,240,87,52,19,5,,159
"Educación Inicial (022)",16,1,5,9,,,,,,,1
"Primaria (023)",3695,42,1564,1317,348,98,54,8,3,,261
"Secundaria (024)",1464,12,563,549,121,32,9,1,,,177
"Sup. no Univ. Incompleta (025)",112,,16,51,16,,,1,,,28
"Sup. no Univ. Completa (026)",126,,15,43,29,13,1,1,,,24
"Sup. Univ. Incompleta (027)",36,,9,14,3,2,,,1,,7
"Sup. Univ. Completa (028)",85,1,5,23,25,15,4,1,,,11
