"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUANCAYO (000)",189573,182487,63197,27529,26642,19215,23490,12640,6330,3444,7086,414678
"De 12 a 14 años (001)",15806,15745,15689,50,6,,,,,,61,62
"De 15 a 19 años (002)",25496,25267,23398,1643,180,26,20,,,,229,2161
"De 20 a 24 años (003)",23561,21043,12337,6156,2024,413,88,25,,,2518,11977
"De 25 a 29 años (004)",20331,18239,5072,6500,4262,1658,679,55,13,,2092,23286
"De 30 a 34 años (005)",18132,17239,2394,4462,5237,2906,1889,306,38,7,893,34063
"De 35 a 39 años (006)",16735,16302,1165,2764,4627,3528,3133,859,192,34,433,43618
"De 40 a 44 años (007)",14821,14580,794,1736,3334,3123,3578,1392,506,117,241,47848
"De 45 a 49 años (008)",12764,12604,524,1227,2416,2367,3357,1733,720,260,160,47865
"De 50 y más años (009)",41927,41468,1824,2991,4556,5194,10746,8270,4861,3026,459,203798
"PEA (010)",75174,71293,18124,14478,13458,8913,9399,4155,1921,845,3881,161322
"De 12 a 14 años (011)",759,758,739,16,3,,,,,,1,22
"De 15 a 19 años (012)",4898,4838,4300,474,49,10,5,,,,60,622
"De 20 a 24 años (013)",9790,8631,5265,2501,701,123,31,10,,,1159,4468
"De 25 a 29 años (014)",10769,9420,3480,3403,1690,600,218,23,6,,1349,9684
"De 30 a 34 años (015)",10160,9533,1858,2860,2715,1231,747,113,6,3,627,15970
"De 35 a 39 años (016)",9390,9086,855,1891,2698,1864,1394,306,65,13,304,21508
"De 40 a 44 años (017)",8295,8144,534,1231,2076,1738,1742,595,198,30,151,23962
"De 45 a 49 años (018)",7037,6940,360,837,1561,1338,1700,770,280,94,97,23678
"De 50 y más años (019)",14076,13943,733,1265,1965,2009,3562,2338,1366,705,133,61408
