"CUADRO Nº 18: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia MOYOBAMBA (000)",26795,14514,12281
"Red pública de desague dentro de la vivienda (001)",7932,7774,158
"Red pública de desague fuera de la vivienda (002)",991,927,64
"Pozo séptico (003)",1634,945,689
"Pozo ciego o negro / letrina (004)",14551,4528,10023
"Río, acequia o canal (005)",176,70,106
"No tiene (006)",1511,270,1241
,,,
"URBANA (008)",16162,13780,2382
"Red pública de desague dentro de la vivienda (009)",7915,7770,145
"Red pública de desague fuera de la vivienda (010)",979,922,57
"Pozo séptico (011)",1127,893,234
"Pozo ciego o negro / letrina (012)",5651,3877,1774
"Río, acequia o canal (013)",82,69,13
"No tiene (014)",408,249,159
,,,
"RURAL (016)",10633,734,9899
"Red pública de desague dentro de la vivienda (017)",17,4,13
"Red pública de desague fuera de la vivienda (018)",12,5,7
"Pozo séptico (019)",507,52,455
"Pozo ciego o negro / letrina (020)",8900,651,8249
"Río, acequia o canal (021)",94,1,93
"No tiene (022)",1103,21,1082
