"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia SUCRE (000)",3514,52,1537,981,297,96,59,24,6,,462
"Sin Nivel (001)",1057,28,481,252,81,30,12,8,4,,161
"Educación Inicial (002)",8,,5,2,1,,,,,,
"Primaria (003)",1277,17,634,342,90,26,31,15,2,,120
"Secundaria (004)",805,6,350,263,50,17,4,1,,,114
"Sup. no Univ. Incompleta (005)",80,1,21,28,10,3,1,,,,16
"Sup. no Univ. Completa (006)",176,,35,63,32,13,6,,,,27
"Sup. Univ. Incompleta (007)",20,,1,3,8,1,1,,,,6
"Sup. Univ. Completa (008)",91,,10,28,25,6,4,,,,18
,,,,,,,,,,,
"URBANA (010)",2105,31,905,607,191,64,41,15,1,,250
"Sin Nivel (011)",518,16,236,119,43,16,7,5,1,,75
"Educación Inicial (012)",2,,1,1,,,,,,,
"Primaria (013)",717,12,365,188,49,16,20,10,,,57
"Secundaria (014)",549,2,247,185,34,12,3,,,,66
"Sup. no Univ. Incompleta (015)",67,1,17,24,8,3,1,,,,13
"Sup. no Univ. Completa (016)",155,,30,61,27,10,5,,,,22
"Sup. Univ. Incompleta (017)",16,,,2,8,1,1,,,,4
"Sup. Univ. Completa (018)",81,,9,27,22,6,4,,,,13
,,,,,,,,,,,
"RURAL (020)",1409,21,632,374,106,32,18,9,5,,212
"Sin Nivel (021)",539,12,245,133,38,14,5,3,3,,86
"Educación Inicial (022)",6,,4,1,1,,,,,,
"Primaria (023)",560,5,269,154,41,10,11,5,2,,63
"Secundaria (024)",256,4,103,78,16,5,1,1,,,48
"Sup. no Univ. Incompleta (025)",13,,4,4,2,,,,,,3
"Sup. no Univ. Completa (026)",21,,5,2,5,3,1,,,,5
"Sup. Univ. Incompleta (027)",4,,1,1,,,,,,,2
"Sup. Univ. Completa (028)",10,,1,1,3,,,,,,5
