"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUAMANGA (000)",3687,3648,39
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",537,537,
"Casa pensión (003)",48,48,
"Hospital, clinica (004)",357,357,
"Cárcel, centro de readaptación social (005)",1117,1117,
"Asilo (006)",103,103,
"Aldea infantil, orfelinato, etc (007)",306,305,1
"Otro (008)",745,742,3
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",474,439,35
