"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia HUARAZ (000)",139377,12239,22373,6677,98568
"Quechua (001)",50570,5202,3565,1005,40855
"Aymara (002)",116,9,23,13,77
"Asháninka (003)",12,1,3,3,5
"Otra lengua nativa (004)",37,5,5,4,25
"Castellano (005)",88410,7004,18760,5573,57485
"Idioma Extranjero (006)",133,3,10,78,44
"Es Sordomudo/a (007)",99,15,7,1,77
"Hombres (009)",68053,5956,10961,3875,47584
"Quechua (010)",23589,2458,1899,647,18630
"Aymara (011)",61,6,15,9,35
"Asháninka (012)",3,,1,1,1
"Otra lengua nativa (013)",13,1,3,,9
"Castellano (014)",44268,3482,9031,3176,28852
"Idioma Extranjero (015)",68,2,6,41,19
"Es Sordomudo/a (016)",51,7,6,1,38
"Mujeres (018)",71324,6283,11412,2802,50984
"Quechua (019)",26981,2744,1666,358,22225
"Aymara (020)",55,3,8,4,42
"Asháninka (021)",9,1,2,2,4
"Otra lengua nativa (022)",24,4,2,4,16
"Castellano (023)",44142,3522,9729,2397,28633
"Idioma Extranjero (024)",65,1,4,37,25
"Es Sordomudo/a (025)",48,8,1,,39
,,,,,
"URBANA (027)",103509,5725,21251,6255,70689
"Quechua (028)",23991,1091,3022,803,19123
"Aymara (029)",88,5,19,9,58
"Asháninka (030)",12,1,3,3,5
"Otra lengua nativa (031)",32,4,3,3,23
"Castellano (032)",79197,4614,18187,5360,51392
"Idioma Extranjero (033)",130,3,10,76,43
"Es Sordomudo/a (034)",59,7,7,1,45
"Hombres (036)",50352,2767,10298,3578,33965
"Quechua (037)",10967,509,1593,511,8390
"Aymara (038)",44,2,11,5,27
"Asháninka (039)",3,,1,1,1
"Otra lengua nativa (040)",9,1,1,,7
"Castellano (041)",39229,2248,8680,3019,25500
"Idioma Extranjero (042)",67,2,6,41,18
"Es Sordomudo/a (043)",33,5,6,1,22
"Mujeres (045)",53157,2958,10953,2677,36724
"Quechua (046)",13024,582,1429,292,10733
"Aymara (047)",44,3,8,4,31
"Asháninka (048)",9,1,2,2,4
"Otra lengua nativa (049)",23,3,2,3,16
"Castellano (050)",39968,2366,9507,2341,25892
"Idioma Extranjero (051)",63,1,4,35,25
"Es Sordomudo/a (052)",26,2,1,,23
,,,,,
"RURAL (054)",35868,6514,1122,422,27879
"Quechua (055)",26579,4111,543,202,21732
"Aymara (056)",28,4,4,4,19
"Otra lengua nativa (058)",5,1,2,1,2
"Castellano (059)",9213,2390,573,213,6093
"Idioma Extranjero (060)",3,,,2,1
"Es Sordomudo/a (061)",40,8,,,32
"Hombres (063)",17701,3189,663,297,13619
"Quechua (064)",12622,1949,306,136,10240
"Aymara (065)",17,4,4,4,8
"Otra lengua nativa (067)",4,,2,,2
"Castellano (068)",5039,1234,351,157,3352
"Idioma Extranjero (069)",1,,,,1
"Es Sordomudo/a (070)",18,2,,,16
"Mujeres (072)",18167,3325,459,125,14260
"Quechua (073)",13957,2162,237,66,11492
"Aymara (074)",11,,,,11
"Otra lengua nativa (076)",1,1,,1,
"Castellano (077)",4174,1156,222,56,2741
"Idioma Extranjero (078)",2,,,2,
"Es Sordomudo/a (079)",22,6,,,16
