"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia TAHUAMANU (000)",143,3,89,39,12,
"Primaria (003)",14,2,4,5,3,
"Secundaria (004)",90,1,60,23,6,
"Superior no univ. incompleta (005)",16,,14,1,1,
"Superior no univ. completa (006)",7,,4,2,1,
"Superior univ. incompleta (007)",10,,6,3,1,
"Superior univ. completa (008)",6,,1,5,,
"Hombres (010)",101,3,61,26,11,
"Primaria (013)",10,2,2,3,3,
"Secundaria (014)",72,1,46,19,6,
"Superior no univ. incompleta (015)",9,,8,1,,
"Superior no univ. completa (016)",2,,1,,1,
"Superior univ. incompleta (017)",4,,3,,1,
"Superior univ. completa (018)",4,,1,3,,
"Mujeres (020)",42,,28,13,1,
"Primaria (023)",4,,2,2,,
"Secundaria (024)",18,,14,4,,
"Superior no univ. incompleta (025)",7,,6,,1,
"Superior no univ. completa (026)",5,,3,2,,
"Superior univ. incompleta (027)",6,,3,3,,
"Superior univ. completa (028)",2,,,2,,
,,,,,,
"Area Urbana (030)",129,2,82,35,10,
"Primaria (033)",12,1,4,4,3,
"Secundaria (034)",83,1,56,21,5,
"Superior no univ. incompleta (035)",12,,11,1,,
"Superior no univ. completa (036)",6,,4,1,1,
"Superior univ. incompleta (037)",10,,6,3,1,
"Superior univ. completa (038)",6,,1,5,,
"Hombres (040)",90,2,55,23,10,
"Primaria (043)",8,1,2,2,3,
"Secundaria (044)",66,1,43,17,5,
"Superior no univ. incompleta (045)",6,,5,1,,
"Superior no univ. completa (046)",2,,1,,1,
"Superior univ. incompleta (047)",4,,3,,1,
"Superior univ. completa (048)",4,,1,3,,
"Mujeres (050)",39,,27,12,,
"Primaria (053)",4,,2,2,,
"Secundaria (054)",17,,13,4,,
"Superior no univ. incompleta (055)",6,,6,,,
"Superior no univ. completa (056)",4,,3,1,,
"Superior univ. incompleta (057)",6,,3,3,,
"Superior univ. completa (058)",2,,,2,,
,,,,,,
"Area Rural (060)",14,1,7,4,2,
"Primaria (063)",2,1,,1,,
"Secundaria (064)",7,,4,2,1,
"Superior no univ. incompleta (065)",4,,3,,1,
"Superior no univ. completa (066)",1,,,1,,
"Hombres (070)",11,1,6,3,1,
"Primaria (073)",2,1,,1,,
"Secundaria (074)",6,,3,2,1,
"Superior no univ. incompleta (075)",3,,3,,,
"Mujeres (080)",3,,1,1,1,
"Secundaria (084)",1,,1,,,
"Superior no univ. incompleta (085)",1,,,,1,
"Superior no univ. completa (086)",1,,,1,,
