"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia LA CONVENCION (000)",124,72,52
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",36,29,7
"Casa pensión (003)",4,1,3
"Hospital, clinica (004)",15,6,9
"Cárcel, centro de readaptación social (005)",1,1,
"Aldea infantil, orfelinato, etc (007)",3,3,
"Otro (008)",42,21,21
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",23,11,12
