"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia LAMBAYEQUE (000)",259274,86543,25582,9438,138080
"Menos de 1 año (001)",5599,3953,424,105,1121
"De 1 a 14 años (002)",84177,48513,7235,2172,26371
"De 15 a 29 años (003)",68749,16931,4258,2414,45222
"De 30 a 44 años (004)",46829,9217,5269,1813,30617
"De 45 a 64 años (005)",37075,5271,5527,1982,24371
"De 65 y mas años (006)",16845,2658,2869,952,10378
"Hombres (008)",128807,39792,12490,5301,71440
"Menos de 1 año (009)",2906,2073,206,47,582
"De 1 a 14 años (010)",42919,24731,3684,1104,13457
"De 15 a 29 años (011)",34081,6478,2041,1463,24142
"De 30 a 44 años (012)",21995,3021,2314,992,15720
"De 45 a 64 años (013)",18267,2200,2644,1140,12340
"De 65 y mas años (014)",8639,1289,1601,555,5199
"Mujeres (016)",130467,46751,13092,4137,66640
"Menos de 1 año (017)",2693,1880,218,58,539
"De 1 a 14 años (018)",41258,23782,3551,1068,12914
"De 15 a 29 años (019)",34668,10453,2217,951,21080
"De 30 a 44 años (020)",24834,6196,2955,821,14897
"De 45 a 64 años (021)",18808,3071,2883,842,12031
"De 65 y mas años (022)",8206,1369,1268,397,5179
,,,,,
"URBANA (024)",125294,31729,20462,7999,65417
"Menos de 1 año (025)",2383,1421,303,84,579
"De 1 a 14 años (026)",36785,17416,5768,1875,11822
"De 15 a 29 años (027)",34242,6391,3272,2069,22570
"De 30 a 44 años (028)",24070,3462,4323,1559,14798
"De 45 a 64 años (029)",19480,1992,4705,1688,11169
"De 65 y mas años (030)",8334,1047,2091,724,4479
"Hombres (032)",60620,14241,9709,4431,32427
"Menos de 1 año (033)",1220,731,149,41,301
"De 1 a 14 años (034)",18684,8863,2924,959,5987
"De 15 a 29 años (035)",16539,2313,1529,1233,11498
"De 30 a 44 años (036)",10781,1054,1808,830,7134
"De 45 a 64 años (037)",9290,776,2193,954,5422
"De 65 y mas años (038)",4106,504,1106,414,2085
"Mujeres (040)",64674,17488,10753,3568,32990
"Menos de 1 año (041)",1163,690,154,43,278
"De 1 a 14 años (042)",18101,8553,2844,916,5835
"De 15 a 29 años (043)",17703,4078,1743,836,11072
"De 30 a 44 años (044)",13289,2408,2515,729,7664
"De 45 a 64 años (045)",10190,1216,2512,734,5747
"De 65 y mas años (046)",4228,543,985,310,2394
,,,,,
"RURAL (048)",133980,54814,5120,1439,72663
"Menos de 1 año (049)",3216,2532,121,21,542
"De 1 a 14 años (050)",47392,31097,1467,297,14549
"De 15 a 29 años (051)",34507,10540,986,345,22652
"De 30 a 44 años (052)",22759,5755,946,254,15819
"De 45 a 64 años (053)",17595,3279,822,294,13202
"De 65 y mas años (054)",8511,1611,778,228,5899
"Hombres (056)",68187,25551,2781,870,39013
"Menos de 1 año (057)",1686,1342,57,6,281
"De 1 a 14 años (058)",24235,15868,760,145,7470
"De 15 a 29 años (059)",17542,4165,512,230,12644
"De 30 a 44 años (060)",11214,1967,506,162,8586
"De 45 a 64 años (061)",8977,1424,451,186,6918
"De 65 y mas años (062)",4533,785,495,141,3114
"Mujeres (064)",65793,29263,2339,569,33650
"Menos de 1 año (065)",1530,1190,64,15,261
"De 1 a 14 años (066)",23157,15229,707,152,7079
"De 15 a 29 años (067)",16965,6375,474,115,10008
"De 30 a 44 años (068)",11545,3788,440,92,7233
"De 45 a 64 años (069)",8618,1855,371,108,6284
"De 65 y mas años (070)",3978,826,283,87,2785
