"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia HUARMEY (000)",26251,3009,5576,789,16920
"Quechua (001)",1695,101,201,23,1372
"Aymara (002)",10,,4,1,5
"Asháninka (003)",2,,,,2
"Otra lengua nativa (004)",7,,1,,6
"Castellano (005)",24521,2906,5369,765,15522
"Idioma Extranjero (006)",2,,,,2
"Es Sordomudo/a (007)",14,2,1,,11
"Hombres (009)",13651,1465,2988,457,8772
"Quechua (010)",845,52,119,12,663
"Aymara (011)",7,,3,,4
"Asháninka (012)",1,,,,1
"Otra lengua nativa (013)",4,,,,4
"Castellano (014)",12783,1411,2865,445,8092
"Idioma Extranjero (015)",1,,,,1
"Es Sordomudo/a (016)",10,2,1,,7
"Mujeres (018)",12600,1544,2588,332,8148
"Quechua (019)",850,49,82,11,709
"Aymara (020)",3,,1,1,1
"Asháninka (021)",1,,,,1
"Otra lengua nativa (022)",3,,1,,2
"Castellano (023)",11738,1495,2504,320,7430
"Idioma Extranjero (024)",1,,,,1
"Es Sordomudo/a (025)",4,,,,4
,,,,,
"URBANA (027)",19947,2283,4995,740,11971
"Quechua (028)",784,44,151,20,571
"Aymara (029)",7,,3,1,3
"Asháninka (030)",2,,,,2
"Otra lengua nativa (031)",4,,1,,3
"Castellano (032)",19139,2237,4839,719,11384
"Idioma Extranjero (033)",2,,,,2
"Es Sordomudo/a (034)",9,2,1,,6
"Hombres (036)",10166,1089,2647,430,6030
"Quechua (037)",367,19,85,10,254
"Aymara (038)",4,,2,,2
"Asháninka (039)",1,,,,1
"Otra lengua nativa (040)",2,,,,2
"Castellano (041)",9785,1068,2559,420,5767
"Idioma Extranjero (042)",1,,,,1
"Es Sordomudo/a (043)",6,2,1,,3
"Mujeres (045)",9781,1194,2348,310,5941
"Quechua (046)",417,25,66,10,317
"Aymara (047)",3,,1,1,1
"Asháninka (048)",1,,,,1
"Otra lengua nativa (049)",2,,1,,1
"Castellano (050)",9354,1169,2280,299,5617
"Idioma Extranjero (051)",1,,,,1
"Es Sordomudo/a (052)",3,,,,3
,,,,,
"RURAL (054)",6304,726,581,49,4949
"Quechua (055)",911,57,50,3,801
"Aymara (056)",3,,1,,2
"Otra lengua nativa (058)",3,,,,3
"Castellano (059)",5382,669,530,46,4138
"Es Sordomudo/a (061)",5,,,,5
"Hombres (063)",3485,376,341,27,2742
"Quechua (064)",478,33,34,2,409
"Aymara (065)",3,,1,,2
"Otra lengua nativa (067)",2,,,,2
"Castellano (068)",2998,343,306,25,2325
"Es Sordomudo/a (070)",4,,,,4
"Mujeres (072)",2819,350,240,22,2207
"Quechua (073)",433,24,16,1,392
"Otra lengua nativa (076)",1,,,,1
"Castellano (077)",2384,326,224,21,1813
"Es Sordomudo/a (079)",1,,,,1
