"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia FERREÑAFE (000)",89221,15966,2993,33662,24263,3303,4677,1721,2636
"Jefe o Jefa (001)",22271,3597,40,8221,6427,835,1694,338,1119
"Esposa(o)/ compa¤era(o) (002)",14943,3757,48,5550,3584,478,989,129,408
"Hijo(a)/ hijastro(a) (003)",38208,5749,2261,14789,10654,1533,1459,940,823
"Yerno/ nuera (004)",1714,135,6,452,756,85,148,47,85
"Nieto(a) (005)",5454,1195,461,2245,1198,129,84,113,29
"Padres/ suegros (006)",864,513,,283,48,2,13,4,1
"Otro(a) pariente (007)",4813,871,159,1785,1309,194,232,133,130
"Trabajador(a) del hogar (008)",78,24,,27,23,,3,1,
"Pensionista (009)",62,12,,12,26,3,1,3,5
"Otro(a) no pariente (010)",814,113,18,298,238,44,54,13,36
"Hombres (012)",44115,5907,1459,16945,13555,1722,2147,926,1454
"Jefe o Jefa (013)",17085,2005,33,6563,5379,667,1299,266,873
"Esposa(o)/ compa¤era(o) (014)",648,80,1,255,196,30,33,14,39
"Hijo(a)/ hijastro(a) (015)",19767,2718,1085,7613,6102,792,589,489,379
"Yerno/ nuera (016)",624,18,,132,299,29,75,22,49
"Nieto(a) (017)",2841,601,254,1140,660,74,39,57,16
"Padres/ suegros (018)",226,80,,116,26,2,1,1,
"Otro(a) pariente (019)",2477,347,77,981,738,102,86,72,74
"Trabajador(a) del hogar (020)",14,5,,4,5,,,,
"Pensionista (021)",35,5,,7,18,3,,,2
"Otro(a) no pariente (022)",398,48,9,134,132,23,25,5,22
"Mujeres (024)",45106,10059,1534,16717,10708,1581,2530,795,1182
"Jefe o Jefa (025)",5186,1592,7,1658,1048,168,395,72,246
"Esposa(o)/ compa¤era(o) (026)",14295,3677,47,5295,3388,448,956,115,369
"Hijo(a)/ hijastro(a) (027)",18441,3031,1176,7176,4552,741,870,451,444
"Yerno/ nuera (028)",1090,117,6,320,457,56,73,25,36
"Nieto(a) (029)",2613,594,207,1105,538,55,45,56,13
"Padres/ suegros (030)",638,433,,167,22,,12,3,1
"Otro(a) pariente (031)",2336,524,82,804,571,92,146,61,56
"Trabajador(a) del hogar (032)",64,19,,23,18,,3,1,
"Pensionista (033)",27,7,,5,8,,1,3,3
"Otro(a) no pariente (034)",416,65,9,164,106,21,29,8,14
,,,,,,,,,
"URBANA (036)",48390,5060,1299,15198,16005,2752,4103,1558,2415
"Jefe o Jefa (037)",12485,991,9,3676,4368,695,1445,288,1013
"Esposa(o)/ compa¤era(o) (038)",7828,809,3,2542,2598,434,923,128,391
"Hijo(a)/ hijastro(a) (039)",19632,2012,915,6117,6488,1230,1263,844,763
"Yerno/ nuera (040)",995,15,,158,493,72,133,44,80
"Nieto(a) (041)",3490,667,278,1348,883,110,70,108,26
"Padres/ suegros (042)",475,192,,220,43,2,13,4,1
"Otro(a) pariente (043)",2791,302,80,882,909,169,210,126,113
"Trabajador(a) del hogar (044)",43,5,,18,16,,3,1,
