"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia MOYOBAMBA (000)",56289,28344,455,827,23753,898,91,96,4,1821
"Hombres (001)",19937,14380,299,456,3083,420,66,58,4,1171
"Mujeres (002)",36352,13964,156,371,20670,478,25,38,,650
"De 06 a 14 años (003)",24389,22513,,,934,463,4,13,,462
"Hombres (004)",12139,11397,,,271,257,2,8,,204
"Mujeres (005)",12250,11116,,,663,206,2,5,,258
"De 15 a 29 años (006)",16177,5658,14,290,9543,,34,27,4,607
"Hombres (007)",4635,2910,3,152,1093,,23,16,4,434
"Mujeres (008)",11542,2748,11,138,8450,,11,11,,173
"De 30 a 44 años (009)",7721,120,22,205,6993,,27,16,,338
"Hombres (010)",1208,52,10,112,745,,21,10,,258
"Mujeres (011)",6513,68,12,93,6248,,6,6,,80
"De 45 a 64 años (012)",5064,45,155,177,4399,8,21,14,,245
"Hombres (013)",1015,18,94,101,595,6,16,10,,175
"Mujeres (014)",4049,27,61,76,3804,2,5,4,,70
"De 65 y más años (015)",2938,8,264,155,1884,427,5,26,,169
"Hombres (016)",940,3,192,91,379,157,4,14,,100
"Mujeres (017)",1998,5,72,64,1505,270,1,12,,69
,,,,,,,,,,
"AREA URBANA (018)",33102,17324,446,448,13116,486,49,53,3,1177
"Hombres (019)",12225,8599,293,209,2065,204,33,31,3,788
"Mujeres (020)",20877,8725,153,239,11051,282,16,22,,389
"De 06 a 14 años (021)",13522,12775,,,415,149,2,5,,176
"Hombres (022)",6712,6391,,,157,79,,3,,82
"Mujeres (023)",6810,6384,,,258,70,2,2,,94
"De 15 a 29 años (024)",9623,4411,14,135,4584,,19,13,3,444
"Hombres (025)",3222,2151,3,55,671,,11,8,3,320
"Mujeres (026)",6401,2260,11,80,3913,,8,5,,124
"De 30 a 44 años (027)",4492,99,22,96,3992,,15,8,,260
"Hombres (028)",776,40,10,40,474,,12,5,,195
"Mujeres (029)",3716,59,12,56,3518,,3,3,,65
"De 45 a 64 años (030)",3199,34,152,101,2716,5,10,7,,174
"Hombres (031)",738,16,92,51,441,4,8,5,,121
"Mujeres (032)",2461,18,60,50,2275,1,2,2,,53
"De 65 y más años (033)",2266,5,258,116,1409,332,3,20,,123
"Hombres (034)",777,1,188,63,322,121,2,10,,70
"Mujeres (035)",1489,4,70,53,1087,211,1,10,,53
,,,,,,,,,,
"AREA RURAL (036)",23187,11020,9,379,10637,412,42,43,1,644
"Hombres (037)",7712,5781,6,247,1018,216,33,27,1,383
"Mujeres (038)",15475,5239,3,132,9619,196,9,16,,261
"De 06 a 14 años (039)",10867,9738,,,519,314,2,8,,286
"Hombres (040)",5427,5006,,,114,178,2,5,,122
"Mujeres (041)",5440,4732,,,405,136,,3,,164
"De 15 a 29 años (042)",6554,1247,,155,4959,,15,14,1,163
"Hombres (043)",1413,759,,97,422,,12,8,1,114
"Mujeres (044)",5141,488,,58,4537,,3,6,,49
"De 30 a 44 años (045)",3229,21,,109,3001,,12,8,,78
"Hombres (046)",432,12,,72,271,,9,5,,63
"Mujeres (047)",2797,9,,37,2730,,3,3,,15
"De 45 a 64 años (048)",1865,11,3,76,1683,3,11,7,,71
"Hombres (049)",277,2,2,50,154,2,8,5,,54
"Mujeres (050)",1588,9,1,26,1529,1,3,2,,17
"De 65 y más años (051)",672,3,6,39,475,95,2,6,,46
"Hombres (052)",163,2,4,28,57,36,2,4,,30
"Mujeres (053)",509,1,2,11,418,59,,2,,16
