"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia OXAPAMPA (000)",76072,18987,7226,2251,47765
"Sin Nivel (001)",11016,3930,543,162,6392
"Educación Inicial (002)",1746,981,195,36,541
"Primaria (003)",34932,10078,2097,793,22020
"Secundaria (004)",20598,3636,1867,705,14441
"Sup. no Univ. Incompleta (005)",1914,109,238,89,1482
"Sup. no Univ. Completa (006)",1944,91,608,146,1110
"Sup. Univ. Incompleta (007)",1337,82,277,82,899
"Sup. Univ. Completa (008)",2585,80,1401,238,880
"Hombres (010)",40350,9269,3668,1462,26067
"Sin Nivel (011)",4824,1928,242,67,2593
"Educación Inicial (012)",845,458,105,16,270
"Primaria (013)",18721,5012,1073,492,12183
"Secundaria (014)",11828,1724,990,496,8664
"Sup. no Univ. Incompleta (015)",1045,45,117,69,816
"Sup. no Univ. Completa (016)",898,30,255,107,513
"Sup. Univ. Incompleta (017)",788,33,169,60,528
"Sup. Univ. Completa (018)",1401,39,717,155,500
"Mujeres (020)",35722,9718,3558,789,21698
"Sin Nivel (021)",6192,2002,301,95,3799
"Educación Inicial (022)",901,523,90,20,271
"Primaria (023)",16211,5066,1024,301,9837
"Secundaria (024)",8770,1912,877,209,5777
"Sup. no Univ. Incompleta (025)",869,64,121,20,666
"Sup. no Univ. Completa (026)",1046,61,353,39,597
"Sup. Univ. Incompleta (027)",549,49,108,22,371
"Sup. Univ. Completa (028)",1184,41,684,83,380
,,,,,
"URBANA (030)",29079,4896,4887,1352,18066
"Sin Nivel (031)",2353,659,281,41,1379
"Educación Inicial (032)",761,327,149,25,263
"Primaria (033)",9569,2157,1221,348,5879
"Secundaria (034)",10520,1479,1314,489,7285
"Sup. no Univ. Incompleta (035)",1366,80,174,66,1050
"Sup. no Univ. Completa (036)",1456,72,451,118,825
"Sup. Univ. Incompleta (037)",1027,64,213,71,682
"Sup. Univ. Completa (038)",2027,58,1084,194,703
"Hombres (040)",15102,2264,2459,939,9533
"Sin Nivel (041)",944,316,121,14,496
"Educación Inicial (042)",383,156,82,10,137
"Primaria (043)",4874,1052,632,236,2980
"Secundaria (044)",5821,639,685,362,4177
"Sup. no Univ. Incompleta (045)",733,29,83,50,573
"Sup. no Univ. Completa (046)",674,22,183,90,386
"Sup. Univ. Incompleta (047)",589,26,125,51,389
"Sup. Univ. Completa (048)",1084,24,548,126,395
"Mujeres (050)",13977,2632,2428,413,8533
"Sin Nivel (051)",1409,343,160,27,883
"Educación Inicial (052)",378,171,67,15,126
"Primaria (053)",4695,1105,589,112,2899
"Secundaria (054)",4699,840,629,127,3108
"Sup. no Univ. Incompleta (055)",633,51,91,16,477
"Sup. no Univ. Completa (056)",782,50,268,28,439
"Sup. Univ. Incompleta (057)",438,38,88,20,293
"Sup. Univ. Completa (058)",943,34,536,68,308
,,,,,
"RURAL (060)",46993,14091,2339,899,29699
"Sin Nivel (061)",8663,3271,262,121,5013
"Educación Inicial (062)",985,654,46,11,278
"Primaria (063)",25363,7921,876,445,16141
"Secundaria (064)",10078,2157,553,216,7156
"Sup. no Univ. Incompleta (065)",548,29,64,23,432
"Sup. no Univ. Completa (066)",488,19,157,28,285
"Sup. Univ. Incompleta (067)",310,18,64,11,217
"Sup. Univ. Completa (068)",558,22,317,44,177
"Hombres (070)",25248,7005,1209,523,16534
"Sin Nivel (071)",3880,1612,121,53,2097
"Educación Inicial (072)",462,302,23,6,133
"Primaria (073)",13847,3960,441,256,9203
"Secundaria (074)",6007,1085,305,134,4487
"Sup. no Univ. Incompleta (075)",312,16,34,19,243
"Sup. no Univ. Completa (076)",224,8,72,17,127
"Sup. Univ. Incompleta (077)",199,7,44,9,139
"Sup. Univ. Completa (078)",317,15,169,29,105
"Mujeres (080)",21745,7086,1130,376,13165
"Sin Nivel (081)",4783,1659,141,68,2916
"Educación Inicial (082)",523,352,23,5,145
"Primaria (083)",11516,3961,435,189,6938
"Secundaria (084)",4071,1072,248,82,2669
"Sup. no Univ. Incompleta (085)",236,13,30,4,189
"Sup. no Univ. Completa (086)",264,11,85,11,158
"Sup. Univ. Incompleta (087)",111,11,20,2,78
"Sup. Univ. Completa (088)",241,7,148,15,72
