"CUADRO Nº 30: POBLACIÓN OCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia SANTIAGO DE CHUCO (000)",15361,2343,4087,6873,96,1647,315
"Conviviente (001)",6131,681,1731,3283,35,312,89
"Separado(a) (002)",327,58,68,173,3,13,12
"Casado(a) (003)",4240,828,1094,1993,39,230,56
"Viudo(a) (004)",450,19,43,335,3,35,15
"Divorciado(a) (005)",44,14,8,20,,,2
"Soltero(a) (006)",4169,743,1143,1069,16,1057,141
"Hombres (008)",12642,1588,3846,5890,82,1224,12
"Conviviente (009)",5375,495,1682,2992,33,169,4
"Separado(a) (010)",122,18,42,59,1,2,
"Casado(a) (011)",3585,639,1057,1732,36,120,1
"Viudo(a) (012)",277,7,21,235,1,13,
"Divorciado(a) (013)",32,10,8,14,,,
"Soltero(a) (014)",3251,419,1036,858,11,920,7
"Mujeres (016)",2719,755,241,983,14,423,303
"Conviviente (017)",756,186,49,291,2,143,85
"Separado(a) (018)",205,40,26,114,2,11,12
"Casado(a) (019)",655,189,37,261,3,110,55
"Viudo(a) (020)",173,12,22,100,2,22,15
"Divorciado(a) (021)",12,4,,6,,,2
"Soltero(a) (022)",918,324,107,211,5,137,134
,,,,,,,
"URBANA (024)",5250,1557,1680,1602,25,249,137
"Conviviente (025)",1835,470,670,579,11,72,33
"Separado(a) (026)",166,41,39,75,,3,8
"Casado(a) (027)",1718,536,527,555,8,71,21
"Viudo(a) (028)",124,12,19,80,1,10,2
"Divorciado(a) (029)",17,7,2,7,,,1
"Soltero(a) (030)",1390,491,423,306,5,93,72
"Hombres (032)",3644,925,1565,991,20,136,7
"Conviviente (033)",1399,310,641,400,10,35,3
"Separado(a) (034)",40,9,22,9,,,
"Casado(a) (035)",1287,373,507,367,6,33,1
"Viudo(a) (036)",37,2,9,22,1,3,
"Divorciado(a) (037)",9,3,2,4,,,
"Soltero(a) (038)",872,228,384,189,3,65,3
"Mujeres (040)",1606,632,115,611,5,113,130
"Conviviente (041)",436,160,29,179,1,37,30
"Separado(a) (042)",126,32,17,66,,3,8
"Casado(a) (043)",431,163,20,188,2,38,20
"Viudo(a) (044)",87,10,10,58,,7,2
"Divorciado(a) (045)",8,4,,3,,,1
"Soltero(a) (046)",518,263,39,117,2,28,69
,,,,,,,
"RURAL (048)",10111,786,2407,5271,71,1398,178
"Conviviente (049)",4296,211,1061,2704,24,240,56
"Separado(a) (050)",161,17,29,98,3,10,4
"Casado(a) (051)",2522,292,567,1438,31,159,35
"Viudo(a) (052)",326,7,24,255,2,25,13
"Divorciado(a) (053)",27,7,6,13,,,1
"Soltero(a) (054)",2779,252,720,763,11,964,69
"Hombres (056)",8998,663,2281,4899,62,1088,5
"Conviviente (057)",3976,185,1041,2592,23,134,1
"Separado(a) (058)",82,9,20,50,1,2,
"Casado(a) (059)",2298,266,550,1365,30,87,
"Viudo(a) (060)",240,5,12,213,,10,
"Divorciado(a) (061)",23,7,6,10,,,
"Soltero(a) (062)",2379,191,652,669,8,855,4
"Mujeres (064)",1113,123,126,372,9,310,173
"Conviviente (065)",320,26,20,112,1,106,55
"Separado(a) (066)",79,8,9,48,2,8,4
"Casado(a) (067)",224,26,17,73,1,72,35
"Viudo(a) (068)",86,2,12,42,2,15,13
"Divorciado(a) (069)",4,,,3,,,1
"Soltero(a) (070)",400,61,68,94,3,109,65
