"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia PAITA (000)",100801,12052,3596,38455,30293,4951,5887,2466,3101
"Quechua (001)",57,8,,12,17,9,5,2,4
"Aymara (002)",20,4,1,7,6,,1,,1
"Ashaninca (003)",8,1,,4,3,,,,
"Otra lengua nativa (004)",97,12,1,26,43,7,,4,4
"Castellano (005)",100498,11962,3590,38386,30206,4934,5878,2458,3084
"Idioma extranjero (006)",14,,,1,3,1,,1,8
"Es sordomudo/a (007)",107,65,4,19,15,,3,1,
"Hombres (009)",50703,5420,1793,18717,16498,2528,2853,1269,1625
"Quechua (010)",39,4,,6,13,7,5,1,3
"Aymara (011)",13,1,1,4,5,,1,,1
"Ashaninca (012)",5,,,3,2,,,,
"Otra lengua nativa (013)",49,6,1,13,21,4,,3,1
"Castellano (014)",50524,5372,1788,18682,16442,2516,2845,1265,1614
"Idioma extranjero (015)",9,,,,2,1,,,6
"Es sordomudo/a (016)",64,37,3,9,13,,2,,
"Mujeres (018)",50098,6632,1803,19738,13795,2423,3034,1197,1476
"Quechua (019)",18,4,,6,4,2,,1,1
"Aymara (020)",7,3,,3,1,,,,
"Ashaninca (021)",3,1,,1,1,,,,
"Otra lengua nativa (022)",48,6,,13,22,3,,1,3
"Castellano (023)",49974,6590,1802,19704,13764,2418,3033,1193,1470
"Idioma extranjero (024)",5,,,1,1,,,1,2
"Es sordomudo/a (025)",43,28,1,10,2,,1,1,
,,,,,,,,,
"URBANA (027)",96217,11290,3458,36182,29293,4820,5737,2431,3006
"Quechua (028)",54,8,,9,17,9,5,2,4
"Aymara (029)",20,4,1,7,6,,1,,1
"Ashaninca (030)",8,1,,4,3,,,,
"Otra lengua nativa (031)",96,11,1,26,43,7,,4,4
"Castellano (032)",95923,11205,3452,36117,29206,4803,5728,2423,2989
"Idioma extranjero (033)",14,,,1,3,1,,1,8
"Es sordomudo/a (034)",102,61,4,18,15,,3,1,
"Hombres (036)",48272,5092,1714,17518,15902,2450,2764,1242,1590
"Quechua (037)",36,4,,3,13,7,5,1,3
"Aymara (038)",13,1,1,4,5,,1,,1
"Ashaninca (039)",5,,,3,2,,,,
"Otra lengua nativa (040)",49,6,1,13,21,4,,3,1
"Castellano (041)",48100,5047,1709,17487,15846,2438,2756,1238,1579
"Idioma extranjero (042)",9,,,,2,1,,,6
"Es sordomudo/a (043)",60,34,3,8,13,,2,,
"Mujeres (045)",47945,6198,1744,18664,13391,2370,2973,1189,1416
"Quechua (046)",18,4,,6,4,2,,1,1
"Aymara (047)",7,3,,3,1,,,,
"Ashaninca (048)",3,1,,1,1,,,,
"Otra lengua nativa (049)",47,5,,13,22,3,,1,3
"Castellano (050)",47823,6158,1743,18630,13360,2365,2972,1185,1410
"Idioma extranjero (051)",5,,,1,1,,,1,2
"Es sordomudo/a (052)",42,27,1,10,2,,1,1,
,,,,,,,,,
"RURAL (054)",4584,762,138,2273,1000,131,150,35,95
"Quechua (055)",3,,,3,,,,,
"Otra lengua nativa (058)",1,1,,,,,,,
"Castellano (059)",4575,757,138,2269,1000,131,150,35,95
"Es sordomudo/a (061)",5,4,,1,,,,,
"Hombres (063)",2431,328,79,1199,596,78,89,27,35
"Quechua (064)",3,,,3,,,,,
"Castellano (068)",2424,325,79,1195,596,78,89,27,35
"Es sordomudo/a (070)",4,3,,1,,,,,
"Mujeres (072)",2153,434,59,1074,404,53,61,8,60
"Otra lengua nativa (076)",1,1,,,,,,,
"Castellano (077)",2151,432,59,1074,404,53,61,8,60
"Es sordomudo/a (079)",1,1,,,,,,,
