"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia BOLOGNESI (000)",13198,1908,4092,3317,3881
"Asiste actualmente (001)",8854,835,3805,2981,1233
"No asiste (002)",4344,1073,287,336,2648
"Hombres (004)",6850,963,2094,1729,2064
"Asiste actualmente (005)",4601,435,1933,1548,685
"No asiste (006)",2249,528,161,181,1379
"Mujeres (008)",6348,945,1998,1588,1817
"Asiste actualmente (009)",4253,400,1872,1433,548
"No asiste (010)",2095,545,126,155,1269
,,,,,
"URBANA (012)",8422,1154,2564,2245,2459
"Asiste actualmente (013)",6059,619,2440,2082,918
"No asiste (014)",2363,535,124,163,1541
"Hombres (016)",4362,604,1308,1160,1290
"Asiste actualmente (017)",3131,331,1238,1070,492
"No asiste (018)",1231,273,70,90,798
"Mujeres (020)",4060,550,1256,1085,1169
"Asiste actualmente (021)",2928,288,1202,1012,426
"No asiste (022)",1132,262,54,73,743
,,,,,
"RURAL (024)",4776,754,1528,1072,1422
"Asiste actualmente (025)",2795,216,1365,899,315
"No asiste (026)",1981,538,163,173,1107
"Hombres (028)",2488,359,786,569,774
"Asiste actualmente (029)",1470,104,695,478,193
"No asiste (030)",1018,255,91,91,581
"Mujeres (032)",2288,395,742,503,648
"Asiste actualmente (033)",1325,112,670,421,122
"No asiste (034)",963,283,72,82,526
