"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia PACHITEA (000)",55830,3492,17846,11113,8249,5916,3909,2454,2851
"Quechua (001)",26229,1274,6831,4659,4082,3178,2414,1689,2102
"Aymara (002)",56,4,14,11,7,7,5,5,3
"Ashaninca (003)",9,,6,,2,1,,,
"Otra lengua nativa (004)",14,1,7,4,1,,,,1
"Castellano (005)",29415,2205,10955,6414,4148,2714,1484,755,740
"Es sordomudo/a (007)",107,8,33,25,9,16,6,5,5
"Hombres (009)",28214,1710,9043,5529,4168,2995,2055,1277,1437
"Quechua (010)",12522,612,3406,2150,1891,1468,1174,822,999
"Aymara (011)",16,1,5,4,2,,1,3,
"Ashaninca (012)",2,,2,,,,,,
"Otra lengua nativa (013)",8,,4,3,1,,,,
"Castellano (014)",15609,1093,5608,3352,2272,1518,878,451,437
"Es sordomudo/a (016)",57,4,18,20,2,9,2,1,1
"Mujeres (018)",27616,1782,8803,5584,4081,2921,1854,1177,1414
"Quechua (019)",13707,662,3425,2509,2191,1710,1240,867,1103
"Aymara (020)",40,3,9,7,5,7,4,2,3
"Ashaninca (021)",7,,4,,2,1,,,
"Otra lengua nativa (022)",6,1,3,1,,,,,1
"Castellano (023)",13806,1112,5347,3062,1876,1196,606,304,303
"Es sordomudo/a (025)",50,4,15,5,7,7,4,4,4
,,,,,,,,,
"URBANA (027)",8127,410,2267,1689,1312,1043,658,364,384
"Quechua (028)",1860,31,249,329,350,321,246,168,166
"Aymara (029)",5,,2,,,2,,,1
"Ashaninca (030)",4,,2,,1,1,,,
"Otra lengua nativa (031)",2,,2,,,,,,
"Castellano (032)",6236,378,2005,1353,961,716,412,195,216
"Es sordomudo/a (034)",20,1,7,7,,3,,1,1
"Hombres (036)",4092,202,1159,835,632,520,356,192,196
"Quechua (037)",884,12,121,154,151,152,121,90,83
"Otra lengua nativa (040)",1,,1,,,,,,
"Castellano (041)",3196,189,1033,677,481,366,235,102,113
"Es sordomudo/a (043)",11,1,4,4,,2,,,
"Mujeres (045)",4035,208,1108,854,680,523,302,172,188
"Quechua (046)",976,19,128,175,199,169,125,78,83
"Aymara (047)",5,,2,,,2,,,1
"Ashaninca (048)",4,,2,,1,1,,,
"Otra lengua nativa (049)",1,,1,,,,,,
"Castellano (050)",3040,189,972,676,480,350,177,93,103
"Es sordomudo/a (052)",9,,3,3,,1,,1,1
,,,,,,,,,
"RURAL (054)",47703,3082,15579,9424,6937,4873,3251,2090,2467
"Quechua (055)",24369,1243,6582,4330,3732,2857,2168,1521,1936
"Aymara (056)",51,4,12,11,7,5,5,5,2
"Ashaninca (057)",5,,4,,1,,,,
"Otra lengua nativa (058)",12,1,5,4,1,,,,1
"Castellano (059)",23179,1827,8950,5061,3187,1998,1072,560,524
"Es sordomudo/a (061)",87,7,26,18,9,13,6,4,4
"Hombres (063)",24122,1508,7884,4694,3536,2475,1699,1085,1241
"Quechua (064)",11638,600,3285,1996,1740,1316,1053,732,916
"Aymara (065)",16,1,5,4,2,,1,3,
"Ashaninca (066)",2,,2,,,,,,
"Otra lengua nativa (067)",7,,3,3,1,,,,
"Castellano (068)",12413,904,4575,2675,1791,1152,643,349,324
"Es sordomudo/a (070)",46,3,14,16,2,7,2,1,1
"Mujeres (072)",23581,1574,7695,4730,3401,2398,1552,1005,1226
"Quechua (073)",12731,643,3297,2334,1992,1541,1115,789,1020
"Aymara (074)",35,3,7,7,5,5,4,2,2
"Ashaninca (075)",3,,2,,1,,,,
"Otra lengua nativa (076)",5,1,2,1,,,,,1
"Castellano (077)",10766,923,4375,2386,1396,846,429,211,200
"Es sordomudo/a (079)",41,4,12,2,7,6,4,3,3
