"CUADRO Nº 9: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia FERREÑAFE (000)",27955,659,8713,9771,7303,1509
"Empleado (001)",4407,21,1287,1909,1134,56
"Obrero (002)",9750,138,3655,3183,2359,415
"Trabajador independiente (003)",9838,55,2270,3642,3054,817
"Empleador o patrono (004)",759,1,123,250,286,99
"Trabajador familiar no remunerado (005)",2527,424,1084,555,358,106
"Trabajador del hogar (006)",674,20,294,232,112,16
"Hombres (008)",20603,420,6496,6950,5526,1211
"Empleado (009)",2497,10,667,1076,703,41
"Obrero (010)",8744,118,3297,2805,2145,379
"Trabajador independiente (011)",7279,27,1701,2617,2285,649
"Empleador o patrono (012)",706,1,116,230,265,94
"Trabajador familiar no remunerado (013)",1350,261,702,215,125,47
"Trabajador del hogar (014)",27,3,13,7,3,1
"Mujeres (016)",7352,239,2217,2821,1777,298
"Empleado (017)",1910,11,620,833,431,15
"Obrero (018)",1006,20,358,378,214,36
"Trabajador independiente (019)",2559,28,569,1025,769,168
"Empleador o patrono (020)",53,,7,20,21,5
"Trabajador familiar no remunerado (021)",1177,163,382,340,233,59
"Trabajador del hogar (022)",647,17,281,225,109,15
,,,,,,
"URBANA (024)",16133,202,4660,5983,4532,756
"Empleado (025)",3945,19,1130,1696,1049,51
"Obrero (026)",4972,66,1631,1652,1381,242
"Trabajador independiente (027)",5739,30,1385,2174,1781,369
"Empleador o patrono (028)",317,1,50,100,120,46
"Trabajador familiar no remunerado (029)",597,72,229,156,103,37
"Trabajador del hogar (030)",563,14,235,205,98,11
"Hombres (032)",11363,145,3307,4012,3302,597
"Empleado (033)",2201,10,583,935,636,37
"Obrero (034)",4666,65,1534,1533,1305,229
"Trabajador independiente (035)",3940,21,1011,1411,1223,274
"Empleador o patrono (036)",269,1,44,82,100,42
"Trabajador familiar no remunerado (037)",270,47,124,47,37,15
"Trabajador del hogar (038)",17,1,11,4,1,
"Mujeres (040)",4770,57,1353,1971,1230,159
"Empleado (041)",1744,9,547,761,413,14
"Obrero (042)",306,1,97,119,76,13
"Trabajador independiente (043)",1799,9,374,763,558,95
"Empleador o patrono (044)",48,,6,18,20,4
"Trabajador familiar no remunerado (045)",327,25,105,109,66,22
"Trabajador del hogar (046)",546,13,224,201,97,11
,,,,,,
"RURAL (048)",11822,457,4053,3788,2771,753
"Empleado (049)",462,2,157,213,85,5
"Obrero (050)",4778,72,2024,1531,978,173
"Trabajador independiente (051)",4099,25,885,1468,1273,448
"Empleador o patrono (052)",442,,73,150,166,53
"Trabajador familiar no remunerado (053)",1930,352,855,399,255,69
"Trabajador del hogar (054)",111,6,59,27,14,5
"Hombres (056)",9240,275,3189,2938,2224,614
"Empleado (057)",296,,84,141,67,4
"Obrero (058)",4078,53,1763,1272,840,150
"Trabajador independiente (059)",3339,6,690,1206,1062,375
"Empleador o patrono (060)",437,,72,148,165,52
"Trabajador familiar no remunerado (061)",1080,214,578,168,88,32
"Trabajador del hogar (062)",10,2,2,3,2,1
"Mujeres (064)",2582,182,864,850,547,139
"Empleado (065)",166,2,73,72,18,1
"Obrero (066)",700,19,261,259,138,23
"Trabajador independiente (067)",760,19,195,262,211,73
"Empleador o patrono (068)",5,,1,2,1,1
"Trabajador familiar no remunerado (069)",850,138,277,231,167,37
"Trabajador del hogar (070)",101,4,57,24,12,4
