"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia HUARI (000)",14421,9721,4700
"Red pública dentro de la vivienda (001)",8408,6463,1945
"Red pública fuera de la vivienda (002)",2519,1768,751
"Pilón de uso público (003)",421,240,181
"Camión - cisterna u otro similar (004)",3,2,1
"Pozo (005)",684,303,381
"Río, acequia, manatial o similar (006)",1684,589,1095
"Vecino (007)",637,331,306
"Otro (008)",65,25,40
,,,
"URBANA (010)",5144,4249,895
"Red pública dentro de la vivienda (011)",3616,3117,499
"Red pública fuera de la vivienda (012)",1107,907,200
"Pilón de uso público (013)",53,32,21
"Camión - cisterna u otro similar (014)",2,1,1
"Pozo (015)",64,39,25
"Río, acequia, manatial o similar (016)",83,34,49
"Vecino (017)",190,105,85
"Otro (018)",29,14,15
,,,
"RURAL (020)",9277,5472,3805
"Red pública dentro de la vivienda (021)",4792,3346,1446
"Red pública fuera de la vivienda (022)",1412,861,551
"Pilón de uso público (023)",368,208,160
"Camión - cisterna u otro similar (024)",1,1,
"Pozo (025)",620,264,356
"Río, acequia, manatial o similar (026)",1601,555,1046
"Vecino (027)",447,226,221
"Otro (028)",36,11,25
