"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia EL DORADO",,,,,,,,,
"Hogares (001)",7490,110,57,44,40,33,32,23,7151
"Ocupantes presentes (002)",33628,445,164,152,169,159,169,136,32234
"Casa independiente",,,,,,,,,
"Hogares (004)",6243,104,54,43,36,30,32,21,5923
"Ocupantes presentes (005)",28007,417,157,149,147,144,169,121,26703
"Departamento en edificio",,,,,,,,,
"Hogares (007)",2,,,,,,,,2
"Ocupantes presentes (008)",9,,,,,,,,9
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",72,1,1,1,,,,1,68
"Ocupantes presentes (011)",217,6,2,3,,,,5,201
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",20,,2,,1,1,,,16
"Ocupantes presentes (014)",48,,5,,4,5,,,34
"Choza o cabaña",,,,,,,,,
"Hogares (016)",1129,5,,,3,2,,1,1118
"Ocupantes presentes (017)",5244,22,,,18,10,,10,5184
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",9,,,,,,,,9
"Ocupantes presentes (020)",40,,,,,,,,40
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",7,,,,,,,,7
"Ocupantes presentes (023)",38,,,,,,,,38
"Otro tipo",,,,,,,,,
"Hogares (025)",8,,,,,,,,8
"Ocupantes presentes (026)",25,,,,,,,,25
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",3013,67,35,30,25,21,19,16,2800
"Ocupantes presentes (029)",13077,266,107,104,106,107,97,82,12208
"Casa independiente",,,,,,,,,
"Hogares (031)",2904,66,32,29,24,20,19,15,2699
"Ocupantes presentes (032)",12732,260,100,101,102,102,97,77,11893
"Departamento en edificio",,,,,,,,,
"Hogares (034)",2,,,,,,,,2
"Ocupantes presentes (035)",9,,,,,,,,9
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",72,1,1,1,,,,1,68
"Ocupantes presentes (038)",217,6,2,3,,,,5,201
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",20,,2,,1,1,,,16
"Ocupantes presentes (041)",48,,5,,4,5,,,34
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",9,,,,,,,,9
"Ocupantes presentes (047)",40,,,,,,,,40
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",5,,,,,,,,5
"Ocupantes presentes (050)",29,,,,,,,,29
"Otro tipo",,,,,,,,,
"Hogares (052)",1,,,,,,,,1
"Ocupantes presentes (053)",2,,,,,,,,2
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",4477,43,22,14,15,12,13,7,4351
"Ocupantes presentes (056)",20551,179,57,48,63,52,72,54,20026
"Casa independiente",,,,,,,,,
"Hogares (058)",3339,38,22,14,12,10,13,6,3224
"Ocupantes presentes (059)",15275,157,57,48,45,42,72,44,14810
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",1129,5,,,3,2,,1,1118
"Ocupantes presentes (071)",5244,22,,,18,10,,10,5184
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",2,,,,,,,,2
"Ocupantes presentes (077)",9,,,,,,,,9
"Otro tipo",,,,,,,,,
"Hogares (079)",7,,,,,,,,7
"Ocupantes presentes (080)",23,,,,,,,,23
