"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia MARISCAL CACERES (000)",11941,50139,7179,30883,4762,19256
"Casa independiente (001)",9349,40192,6590,28926,2759,11266
"Departamento en edificio (002)",51,157,51,157,,
"Vivienda en quinta (003)",389,1249,389,1249,,
"Vivienda en casa de vecindad (004)",56,207,56,207,,
"Choza o cabaña (005)",1995,7967,,,1995,7967
"Vivienda improvisada (006)",71,271,71,271,,
"Local no dest.para hab. humana (007)",22,63,19,60,3,3
"Otro tipo (008)",8,33,3,13,5,20
