"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia QUISPICANCHI",,,,,,,,,
"Hogares (001)",19959,402,253,190,189,155,128,115,18527
"Ocupantes presentes (002)",80362,1260,735,614,744,735,707,758,74809
"Casa independiente",,,,,,,,,
"Hogares (004)",18012,375,233,181,179,143,114,104,16683
"Ocupantes presentes (005)",72953,1210,680,586,703,678,635,685,67776
"Departamento en edificio",,,,,,,,,
"Hogares (007)",24,2,1,,,,,,21
"Ocupantes presentes (008)",86,7,1,,,,,,78
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",37,1,1,,,,2,1,32
"Ocupantes presentes (011)",105,1,2,,,,14,10,78
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",70,2,6,2,1,1,3,2,53
"Ocupantes presentes (014)",246,3,21,6,3,1,13,11,188
"Choza o cabaña",,,,,,,,,
"Hogares (016)",1747,22,11,5,9,11,9,7,1673
"Ocupantes presentes (017)",6812,39,29,16,38,56,45,43,6546
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",7,,,,,,,,7
"Ocupantes presentes (020)",19,,,,,,,,19
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",23,,1,2,,,,1,19
"Ocupantes presentes (023)",64,,2,6,,,,9,47
"Otro tipo",,,,,,,,,
"Hogares (025)",39,,,,,,,,39
"Ocupantes presentes (026)",77,,,,,,,,77
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",7235,240,137,96,99,63,53,37,6510
"Ocupantes presentes (029)",27768,724,389,307,379,285,287,214,25183
"Casa independiente",,,,,,,,,
"Hogares (031)",7082,235,128,92,98,62,48,33,6386
"Ocupantes presentes (032)",27274,713,363,295,376,284,260,184,24799
"Departamento en edificio",,,,,,,,,
"Hogares (034)",24,2,1,,,,,,21
"Ocupantes presentes (035)",86,7,1,,,,,,78
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",37,1,1,,,,2,1,32
"Ocupantes presentes (038)",105,1,2,,,,14,10,78
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",70,2,6,2,1,1,3,2,53
"Ocupantes presentes (041)",246,3,21,6,3,1,13,11,188
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",7,,,,,,,,7
"Ocupantes presentes (047)",19,,,,,,,,19
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",14,,1,2,,,,1,10
"Ocupantes presentes (050)",37,,2,6,,,,9,20
"Otro tipo",,,,,,,,,
"Hogares (052)",1,,,,,,,,1
"Ocupantes presentes (053)",1,,,,,,,,1
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",12724,162,116,94,90,92,75,78,12017
"Ocupantes presentes (056)",52594,536,346,307,365,450,420,544,49626
"Casa independiente",,,,,,,,,
"Hogares (058)",10930,140,105,89,81,81,66,71,10297
"Ocupantes presentes (059)",45679,497,317,291,327,394,375,501,42977
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",1747,22,11,5,9,11,9,7,1673
"Ocupantes presentes (071)",6812,39,29,16,38,56,45,43,6546
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",9,,,,,,,,9
"Ocupantes presentes (077)",27,,,,,,,,27
"Otro tipo",,,,,,,,,
"Hogares (079)",38,,,,,,,,38
"Ocupantes presentes (080)",76,,,,,,,,76
