"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia VICTOR FAJARDO (000)",23946,1060,5863,3745,3147,2870,2255,1901,3105
"Quechua (001)",20647,745,4579,3121,2626,2572,2112,1830,3062
"Aymara (002)",37,2,1,8,5,8,5,5,3
"Ashaninca (003)",2,,,1,,,,1,
"Otra lengua nativa (004)",9,,,2,2,4,1,,
"Castellano (005)",3213,309,1272,609,508,282,131,63,39
"Es sordomudo/a (007)",38,4,11,4,6,4,6,2,1
"Hombres (009)",11544,546,2937,1921,1577,1423,1039,800,1301
"Quechua (010)",9692,383,2297,1584,1247,1216,935,753,1277
"Aymara (011)",17,2,1,2,2,4,4,1,1
"Ashaninca (012)",1,,,1,,,,,
"Otra lengua nativa (013)",7,,,1,2,4,,,
"Castellano (014)",1806,159,634,330,322,197,97,45,22
"Es sordomudo/a (016)",21,2,5,3,4,2,3,1,1
"Mujeres (018)",12402,514,2926,1824,1570,1447,1216,1101,1804
"Quechua (019)",10955,362,2282,1537,1379,1356,1177,1077,1785
"Aymara (020)",20,,,6,3,4,1,4,2
"Ashaninca (021)",1,,,,,,,1,
"Otra lengua nativa (022)",2,,,1,,,1,,
"Castellano (023)",1407,150,638,279,186,85,34,18,17
"Es sordomudo/a (025)",17,2,6,1,2,2,3,1,
,,,,,,,,,
"URBANA (027)",17845,745,4381,2874,2437,2209,1686,1363,2150
"Quechua (028)",14988,481,3248,2340,1984,1947,1564,1309,2115
"Aymara (029)",25,2,,5,4,7,2,4,1
"Ashaninca (030)",2,,,1,,,,1,
"Otra lengua nativa (031)",8,,,2,1,4,1,,
"Castellano (032)",2797,261,1124,524,443,249,114,48,34
"Es sordomudo/a (034)",25,1,9,2,5,2,5,1,
"Hombres (036)",8670,376,2194,1502,1247,1095,783,589,884
"Quechua (037)",7062,243,1633,1209,952,909,695,554,867
"Aymara (038)",12,2,,1,2,4,2,1,
"Ashaninca (039)",1,,,1,,,,,
"Otra lengua nativa (040)",6,,,1,1,4,,,
"Castellano (041)",1574,130,557,288,289,177,83,33,17
"Es sordomudo/a (043)",15,1,4,2,3,1,3,1,
"Mujeres (045)",9175,369,2187,1372,1190,1114,903,774,1266
"Quechua (046)",7926,238,1615,1131,1032,1038,869,755,1248
"Aymara (047)",13,,,4,2,3,,3,1
"Ashaninca (048)",1,,,,,,,1,
"Otra lengua nativa (049)",2,,,1,,,1,,
"Castellano (050)",1223,131,567,236,154,72,31,15,17
"Es sordomudo/a (052)",10,,5,,2,1,2,,
,,,,,,,,,
"RURAL (054)",6101,315,1482,871,710,661,569,538,955
"Quechua (055)",5659,264,1331,781,642,625,548,521,947
"Aymara (056)",12,,1,3,1,1,3,1,2
"Otra lengua nativa (058)",1,,,,1,,,,
"Castellano (059)",416,48,148,85,65,33,17,15,5
"Es sordomudo/a (061)",13,3,2,2,1,2,1,1,1
"Hombres (063)",2874,170,743,419,330,328,256,211,417
"Quechua (064)",2630,140,664,375,295,307,240,199,410
"Aymara (065)",5,,1,1,,,2,,1
"Otra lengua nativa (067)",1,,,,1,,,,
"Castellano (068)",232,29,77,42,33,20,14,12,5
"Es sordomudo/a (070)",6,1,1,1,1,1,,,1
"Mujeres (072)",3227,145,739,452,380,333,313,327,538
"Quechua (073)",3029,124,667,406,347,318,308,322,537
"Aymara (074)",7,,,2,1,1,1,1,1
"Castellano (077)",184,19,71,43,32,13,3,3,
"Es sordomudo/a (079)",7,2,1,1,,1,1,1,
