"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia JAEN (000)",62184,51369,4807,3014,2994
"Sin nivel (001)",3921,3735,147,20,19
"Educación inicial (002)",70,57,9,3,1
"Primaria (003)",26755,24858,1377,286,234
"Secundaria (004)",19423,16637,1570,591,625
"Superior no univ. incompleta (005)",2115,1502,232,176,205
"Superior no univ. completa (006)",4068,1969,611,764,724
"Superior univ. incompleta (007)",1364,824,194,156,190
"Superior univ. completa (008)",4468,1787,667,1018,996
"De 06 a 14 años (010)",1538,1414,109,13,2
"Sin nivel (011)",52,48,4,,
"Educación inicial (012)",12,11,1,,
"Primaria (013)",1101,1010,80,9,2
"Secundaria (014)",373,345,24,4,
"De 15 a 29 años (020)",21921,18497,1844,876,704
"Sin nivel (021)",491,466,20,3,2
"Educación inicial (022)",30,23,6,1,
"Primaria (023)",7660,7186,363,63,48
"Secundaria (024)",9610,8347,819,270,174
"Superior no univ. incompleta (025)",1028,765,114,79,70
"Superior no univ. completa (026)",1364,752,229,214,169
"Superior univ. incompleta (027)",651,443,104,51,53
"Superior univ. completa (028)",1087,515,189,195,188
"De 30 a 44 años (030)",21322,16682,1776,1449,1415
"Sin nivel (031)",889,826,48,9,6
"Educación inicial (032)",28,23,2,2,1
"Primaria (033)",8262,7631,447,105,79
"Secundaria (034)",6663,5620,510,241,292
"Superior no univ. incompleta (035)",788,546,91,76,75
"Superior no univ. completa (036)",1943,906,281,395,361
"Superior univ. incompleta (037)",509,291,67,73,78
"Superior univ. completa (038)",2240,839,330,548,523
"De 45 a 64 años (040)",13881,11467,934,649,831
"Sin nivel (041)",1448,1384,54,4,6
"Primaria (043)",7540,6966,385,96,93
"Secundaria (044)",2585,2161,203,74,147
"Superior no univ. incompleta (045)",283,177,26,21,59
"Superior no univ. completa (046)",730,288,100,153,189
"Superior univ. incompleta (047)",196,83,22,32,59
"Superior univ. completa (048)",1099,408,144,269,278
"De 65 y más años (050)",3522,3309,144,27,42
"Sin nivel (051)",1041,1011,21,4,5
"Primaria (053)",2192,2065,102,13,12
"Secundaria (054)",192,164,14,2,12
"Superior no univ. incompleta (055)",16,14,1,,1
"Superior no univ. completa (056)",31,23,1,2,5
"Superior univ. incompleta (057)",8,7,1,,
