"CUADRO Nº 30: POBLACIÓN OCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia BELLAVISTA (000)",18896,1757,3613,9853,416,2847,410
"Conviviente (001)",7647,646,1468,4510,184,726,113
"Separado(a) (002)",485,56,107,278,8,14,22
"Casado(a) (003)",5341,556,731,3293,144,547,70
"Viudo(a) (004)",320,13,44,224,10,17,12
"Divorciado(a) (005)",61,12,10,34,2,3,
"Soltero(a) (006)",5042,474,1253,1514,68,1540,193
"Hombres (008)",14501,982,3092,8344,357,1703,23
"Conviviente (009)",5814,372,1211,3859,160,210,2
"Separado(a) (010)",298,24,82,181,6,4,1
"Casado(a) (011)",3971,315,591,2830,121,112,2
"Viudo(a) (012)",180,1,28,133,9,8,1
"Divorciado(a) (013)",46,6,9,29,,2,
"Soltero(a) (014)",4192,264,1171,1312,61,1367,17
"Mujeres (016)",4395,775,521,1509,59,1144,387
"Conviviente (017)",1833,274,257,651,24,516,111
"Separado(a) (018)",187,32,25,97,2,10,21
"Casado(a) (019)",1370,241,140,463,23,435,68
"Viudo(a) (020)",140,12,16,91,1,9,11
"Divorciado(a) (021)",15,6,1,5,2,1,
"Soltero(a) (022)",850,210,82,202,7,173,176
,,,,,,,
"URBANA (024)",10737,1532,2187,5074,280,1339,325
"Conviviente (025)",4260,539,894,2245,122,379,81
"Separado(a) (026)",287,53,65,142,6,5,16
"Casado(a) (027)",3121,493,450,1722,98,314,44
"Viudo(a) (028)",175,10,19,117,6,14,9
"Divorciado(a) (029)",34,12,6,13,2,1,
"Soltero(a) (030)",2860,425,753,835,46,626,175
"Hombres (032)",7714,889,1862,4046,228,670,19
"Conviviente (033)",3069,325,738,1823,103,79,1
"Separado(a) (034)",146,22,45,75,4,,
"Casado(a) (035)",2184,296,368,1395,76,47,2
"Viudo(a) (036)",80,1,10,59,5,5,
"Divorciado(a) (037)",24,6,5,12,,1,
"Soltero(a) (038)",2211,239,696,682,40,538,16
"Mujeres (040)",3023,643,325,1028,52,669,306
"Conviviente (041)",1191,214,156,422,19,300,80
"Separado(a) (042)",141,31,20,67,2,5,16
"Casado(a) (043)",937,197,82,327,22,267,42
"Viudo(a) (044)",95,9,9,58,1,9,9
"Divorciado(a) (045)",10,6,1,1,2,,
"Soltero(a) (046)",649,186,57,153,6,88,159
,,,,,,,
"RURAL (048)",8159,225,1426,4779,136,1508,85
"Conviviente (049)",3387,107,574,2265,62,347,32
"Separado(a) (050)",198,3,42,136,2,9,6
"Casado(a) (051)",2220,63,281,1571,46,233,26
"Viudo(a) (052)",145,3,25,107,4,3,3
"Divorciado(a) (053)",27,,4,21,,2,
"Soltero(a) (054)",2182,49,500,679,22,914,18
"Hombres (056)",6787,93,1230,4298,129,1033,4
"Conviviente (057)",2745,47,473,2036,57,131,1
"Separado(a) (058)",152,2,37,106,2,4,1
"Casado(a) (059)",1787,19,223,1435,45,65,
"Viudo(a) (060)",100,,18,74,4,3,1
"Divorciado(a) (061)",22,,4,17,,1,
"Soltero(a) (062)",1981,25,475,630,21,829,1
"Mujeres (064)",1372,132,196,481,7,475,81
"Conviviente (065)",642,60,101,229,5,216,31
"Separado(a) (066)",46,1,5,30,,5,5
"Casado(a) (067)",433,44,58,136,1,168,26
"Viudo(a) (068)",45,3,7,33,,,2
"Divorciado(a) (069)",5,,,4,,1,
"Soltero(a) (070)",201,24,25,49,1,85,17
