"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia ICA (000)",303050,11649,58737,63770,51731,41902,30792,20478,23991
"Quechua (001)",15148,27,477,2066,2279,2256,2364,2313,3366
"Aymara (002)",1039,17,55,317,287,173,111,44,35
"Ashaninca (003)",55,3,12,10,10,5,5,7,3
"Otra lengua nativa (004)",5,,,2,,2,,,1
"Castellano (005)",286394,11590,58114,61288,49082,39405,28274,18086,20555
"Idioma extranjero (006)",118,2,6,24,24,11,19,16,16
"Es sordomudo/a (007)",291,10,73,63,49,50,19,12,15
"Hombres (009)",147802,5896,29877,31431,25166,19721,14473,9648,11590
"Quechua (010)",7141,14,237,1045,1144,1037,1029,1082,1553
"Aymara (011)",558,5,26,155,172,95,65,22,18
"Ashaninca (012)",24,1,5,6,6,2,2,2,
"Otra lengua nativa (013)",2,,,,,1,,,1
"Castellano (014)",139859,5869,29564,30175,23809,18560,13352,8527,10003
"Idioma extranjero (015)",64,1,2,13,14,4,13,10,7
"Es sordomudo/a (016)",154,6,43,37,21,22,12,5,8
"Mujeres (018)",155248,5753,28860,32339,26565,22181,16319,10830,12401
"Quechua (019)",8007,13,240,1021,1135,1219,1335,1231,1813
"Aymara (020)",481,12,29,162,115,78,46,22,17
"Ashaninca (021)",31,2,7,4,4,3,3,5,3
"Otra lengua nativa (022)",3,,,2,,1,,,
"Castellano (023)",146535,5721,28550,31113,25273,20845,14922,9559,10552
"Idioma extranjero (024)",54,1,4,11,10,7,6,6,9
"Es sordomudo/a (025)",137,4,30,26,28,28,7,7,7
,,,,,,,,,
"URBANA (027)",277278,10664,54074,58319,47148,38531,28343,18653,21546
"Quechua (028)",13399,24,427,1731,1981,2038,2127,2058,3013
"Aymara (029)",491,10,38,109,98,91,75,38,32
"Ashaninca (030)",49,2,12,9,8,5,5,6,2
"Otra lengua nativa (031)",5,,,2,,2,,,1
"Castellano (032)",262962,10618,53525,56385,44995,36342,26100,16527,18470
"Idioma extranjero (033)",117,2,6,24,24,11,19,16,15
"Es sordomudo/a (034)",255,8,66,59,42,42,17,8,13
"Hombres (036)",134573,5391,27482,28639,22743,18057,13232,8732,10297
"Quechua (037)",6217,12,217,844,964,925,922,951,1382
"Aymara (038)",250,3,16,55,55,47,38,19,17
"Ashaninca (039)",22,1,5,5,5,2,2,2,
"Otra lengua nativa (040)",2,,,,,1,,,1
"Castellano (041)",127881,5370,27202,27687,21687,17060,12245,7747,8883
"Idioma extranjero (042)",64,1,2,13,14,4,13,10,7
"Es sordomudo/a (043)",137,4,40,35,18,18,12,3,7
"Mujeres (045)",142705,5273,26592,29680,24405,20474,15111,9921,11249
"Quechua (046)",7182,12,210,887,1017,1113,1205,1107,1631
"Aymara (047)",241,7,22,54,43,44,37,19,15
"Ashaninca (048)",27,1,7,4,3,3,3,4,2
"Otra lengua nativa (049)",3,,,2,,1,,,
"Castellano (050)",135081,5248,26323,28698,23308,19282,13855,8780,9587
"Idioma extranjero (051)",53,1,4,11,10,7,6,6,8
"Es sordomudo/a (052)",118,4,26,24,24,24,5,5,6
,,,,,,,,,
"RURAL (054)",25772,985,4663,5451,4583,3371,2449,1825,2445
"Quechua (055)",1749,3,50,335,298,218,237,255,353
"Aymara (056)",548,7,17,208,189,82,36,6,3
"Ashaninca (057)",6,1,,1,2,,,1,1
"Castellano (059)",23432,972,4589,4903,4087,3063,2174,1559,2085
"Idioma extranjero (060)",1,,,,,,,,1
"Es sordomudo/a (061)",36,2,7,4,7,8,2,4,2
"Hombres (063)",13229,505,2395,2792,2423,1664,1241,916,1293
"Quechua (064)",924,2,20,201,180,112,107,131,171
"Aymara (065)",308,2,10,100,117,48,27,3,1
"Ashaninca (066)",2,,,1,1,,,,
"Castellano (068)",11978,499,2362,2488,2122,1500,1107,780,1120
"Es sordomudo/a (070)",17,2,3,2,3,4,,2,1
"Mujeres (072)",12543,480,2268,2659,2160,1707,1208,909,1152
"Quechua (073)",825,1,30,134,118,106,130,124,182
"Aymara (074)",240,5,7,108,72,34,9,3,2
"Ashaninca (075)",4,1,,,1,,,1,1
"Castellano (077)",11454,473,2227,2415,1965,1563,1067,779,965
"Idioma extranjero (078)",1,,,,,,,,1
"Es sordomudo/a (079)",19,,4,2,4,4,2,2,1
