"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CHOTA (000)",45396,39662,2408,1121,2205
"Empleado (001)",5483,1783,1171,802,1727
"Obrero (002)",8393,7093,567,278,455
"Trabajador independiente (003)",23157,22695,462,,
"Empleador o patrono (004)",585,520,43,14,8
"Trabajador familiar no remunerado (005)",7116,6909,165,27,15
"Trabajador del hogar (006)",662,662,,,
"De 06 a 14 años (008)",766,731,30,5,
"Empleado (009)",25,22,2,1,
"Obrero (010)",115,103,12,,
"Trabajador independiente (011)",146,143,3,,
"Empleador o patrono (012)",1,1,,,
"Trabajador familiar no remunerado (013)",442,425,13,4,
"Trabajador del hogar (014)",37,37,,,
"De 15 a 29 años (016)",14405,12910,648,249,598
"Empleado (017)",1396,616,223,139,418
"Obrero (018)",3003,2508,225,98,172
"Trabajador independiente (019)",5868,5753,115,,
"Empleador o patrono (020)",156,137,11,4,4
"Trabajador familiar no remunerado (021)",3610,3524,74,8,4
"Trabajador del hogar (022)",372,372,,,
"De 30 a 44 años (024)",15075,12421,1086,544,1024
"Empleado (025)",2738,822,650,421,845
"Obrero (026)",2750,2283,187,108,172
"Trabajador independiente (027)",7673,7488,185,,
"Empleador o patrono (028)",194,165,22,5,2
"Trabajador familiar no remunerado (029)",1586,1529,42,10,5
"Trabajador del hogar (030)",134,134,,,
"De 45 a 64 años (032)",10937,9510,558,309,560
"Empleado (033)",1269,295,289,234,451
"Obrero (034)",1900,1614,117,66,103
"Trabajador independiente (035)",6457,6331,126,,
"Empleador o patrono (036)",168,154,7,5,2
"Trabajador familiar no remunerado (037)",1051,1024,19,4,4
"Trabajador del hogar (038)",92,92,,,
"De 65 y más años (040)",4213,4090,86,14,23
"Empleado (041)",55,28,7,7,13
"Obrero (042)",625,585,26,6,8
"Trabajador independiente (043)",3013,2980,33,,
"Empleador o patrono (044)",66,63,3,,
"Trabajador familiar no remunerado (045)",427,407,17,1,2
"Trabajador del hogar (046)",27,27,,,
,,,,,
"URBANA (048)",11575,8149,1310,772,1344
"Empleado (049)",4170,1296,934,698,1242
"Obrero (050)",1264,1005,106,56,97
"Trabajador independiente (051)",4772,4559,213,,
"Empleador o patrono (052)",196,166,22,7,1
"Trabajador familiar no remunerado (053)",800,750,35,11,4
