"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CHUMBIVILCAS (000)",70368,47597,2571,534,19720
"Quechua (001)",64087,44440,1550,393,17735
"Aymara (002)",102,52,14,6,33
"Asháninka (003)",9,6,,4,3
"Otra lengua nativa (004)",1,,,,1
"Castellano (005)",6063,3046,997,127,1909
"Idioma Extranjero (006)",2,,,1,1
"Es Sordomudo/a (007)",104,53,10,3,38
"Hombres (009)",35491,23164,1365,322,10670
"Quechua (010)",32003,21422,785,232,9581
"Aymara (011)",54,22,10,3,20
"Asháninka (012)",3,2,,2,1
"Otra lengua nativa (013)",1,,,,1
"Castellano (014)",3368,1683,563,82,1050
"Idioma Extranjero (015)",1,,,1,
"Es Sordomudo/a (016)",61,35,7,2,17
"Mujeres (018)",34877,24433,1206,212,9050
"Quechua (019)",32084,23018,765,161,8154
"Aymara (020)",48,30,4,3,13
"Asháninka (021)",6,4,,2,2
"Castellano (023)",2695,1363,434,45,859
"Idioma Extranjero (024)",1,,,,1
"Es Sordomudo/a (025)",43,18,3,1,21
,,,,,
"URBANA (027)",16359,7366,2049,313,6657
"Quechua (028)",11678,5302,1084,195,5110
"Aymara (029)",43,13,12,4,14
"Asháninka (030)",2,1,,1,1
"Otra lengua nativa (031)",1,,,,1
"Castellano (032)",4602,2038,944,111,1521
"Idioma Extranjero (033)",2,,,1,1
"Es Sordomudo/a (034)",31,12,9,1,9
"Hombres (036)",8247,3620,1104,202,3339
"Quechua (037)",5736,2537,558,123,2526
"Aymara (038)",25,6,9,2,8
"Otra lengua nativa (040)",1,,,,1
"Castellano (041)",2471,1073,531,76,801
"Idioma Extranjero (042)",1,,,1,
"Es Sordomudo/a (043)",13,4,6,,3
"Mujeres (045)",8112,3746,945,111,3318
"Quechua (046)",5942,2765,526,72,2584
"Aymara (047)",18,7,3,2,6
"Asháninka (048)",2,1,,1,1
"Castellano (050)",2131,965,413,35,720
"Idioma Extranjero (051)",1,,,,1
"Es Sordomudo/a (052)",18,8,3,1,6
,,,,,
"RURAL (054)",54009,40231,522,221,13063
"Quechua (055)",52409,39138,466,198,12625
"Aymara (056)",59,39,2,2,19
"Asháninka (057)",7,5,,3,2
"Castellano (059)",1461,1008,53,16,388
"Es Sordomudo/a (061)",73,41,1,2,29
"Hombres (063)",27244,19544,261,120,7331
"Quechua (064)",26267,18885,227,109,7055
"Aymara (065)",29,16,1,1,12
"Asháninka (066)",3,2,,2,1
"Castellano (068)",897,610,32,6,249
"Es Sordomudo/a (070)",48,31,1,2,14
"Mujeres (072)",26765,20687,261,101,5732
"Quechua (073)",26142,20253,239,89,5570
"Aymara (074)",30,23,1,1,7
"Asháninka (075)",4,3,,1,1
"Castellano (077)",564,398,21,10,139
"Es Sordomudo/a (079)",25,10,,,15
