"CUADRO Nº 19: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia ASUNCION (000)",2370,449,431,1067,43,219,69,92
"Agric., ganadería, caza y silvicultura (001)",1065,1,165,731,37,131,,
"Explotación de minas y canteras (003)",9,,9,,,,,
"Industrias manufactureras (004)",202,1,88,109,3,1,,
"Suministro de electricidad, gas y agua (005)",9,2,7,,,,,
"Construcción (006)",123,3,107,11,2,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",154,21,9,99,,25,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",17,1,7,9,,,,
"Comercio al por mayor (009)",3,,,2,,1,,
"Comercio al por menor (010)",134,20,2,88,,24,,
"Hoteles y restaurantes (011)",57,16,3,28,1,9,,
"Trans., almac. y comunicaciones (012)",27,8,5,14,,,,
"Intermediación financiera (013)",1,1,,,,,,
"Activid.inmobil., empres. y alquileres (014)",53,45,5,3,,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",32,27,5,,,,,
"Enseñanza (016)",233,216,,16,,1,,
"Servicios sociales y de salud (017)",58,57,1,,,,,
"Otras activ. serv.comun.soc y personales (018)",70,42,11,14,,3,,
"Hogares privados con servicio doméstico (019)",69,,,,,,69,
"Actividad economica no especificada (021)",116,9,16,42,,49,,
"Desocupado (022)",92,,,,,,,92
"Hombres (023)",1771,241,378,916,41,113,5,77
"Agric., ganadería, caza y silvicultura (024)",978,1,141,714,36,86,,
"Explotación de minas y canteras (026)",9,,9,,,,,
"Industrias manufactureras (027)",180,1,79,96,3,1,,
"Suministro de electricidad, gas y agua (028)",9,2,7,,,,,
"Construcción (029)",118,3,102,11,2,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",82,12,9,51,,10,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",17,1,7,9,,,,
"Comercio al por mayor (032)",2,,,1,,1,,
"Comercio al por menor (033)",63,11,2,41,,9,,
"Hoteles y restaurantes (034)",15,6,1,6,,2,,
"Trans., almac. y comunicaciones (035)",23,5,4,14,,,,
"Activid.inmobil., empres. y alquileres (037)",37,29,5,3,,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",25,21,4,,,,,
"Enseñanza (039)",128,121,,6,,1,,
"Servicios sociales y de salud (040)",9,8,1,,,,,
"Otras activ. serv.comun.soc y personales (041)",46,29,9,8,,,,
"Hogares privados con servicio doméstico (042)",5,,,,,,5,
"Actividad economica no especificada (044)",30,3,7,7,,13,,
"Desocupado (045)",77,,,,,,,77
"Mujeres (046)",599,208,53,151,2,106,64,15
"Agric., ganadería, caza y silvicultura (047)",87,,24,17,1,45,,
"Industrias manufactureras (050)",22,,9,13,,,,
"Construcción (052)",5,,5,,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",72,9,,48,,15,,
"Comercio al por mayor (055)",1,,,1,,,,
"Comercio al por menor (056)",71,9,,47,,15,,
"Hoteles y restaurantes (057)",42,10,2,22,1,7,,
"Trans., almac. y comunicaciones (058)",4,3,1,,,,,
"Intermediación financiera (059)",1,1,,,,,,
"Activid.inmobil., empres. y alquileres (060)",16,16,,,,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",7,6,1,,,,,
"Enseñanza (062)",105,95,,10,,,,
"Servicios sociales y de salud (063)",49,49,,,,,,
"Otras activ. serv.comun.soc y personales (064)",24,13,2,6,,3,,
"Hogares privados con servicio doméstico (065)",64,,,,,,64,
"Actividad economica no especificada (067)",86,6,9,35,,36,,
"Desocupado (068)",15,,,,,,,15
,,,,,,,,
"URBANA (069)",847,329,161,247,11,48,25,26
"Agric., ganadería, caza y silvicultura (070)",90,,31,42,6,11,,
"Explotación de minas y canteras (072)",2,,2,,,,,
"Industrias manufactureras (073)",121,,49,68,3,1,,
"Suministro de electricidad, gas y agua (074)",8,1,7,,,,,
"Construcción (075)",48,2,39,6,1,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",110,15,3,74,,18,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",11,1,2,8,,,,
"Comercio al por mayor (078)",3,,,2,,1,,
"Comercio al por menor (079)",96,14,1,64,,17,,
"Hoteles y restaurantes (080)",48,13,3,22,1,9,,
"Trans., almac. y comunicaciones (081)",17,7,2,8,,,,
"Activid.inmobil., empres. y alquileres (083)",39,32,4,3,,,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",26,21,5,,,,,
"Enseñanza (085)",158,147,,11,,,,
"Servicios sociales y de salud (086)",52,51,1,,,,,
"Otras activ. serv.comun.soc y personales (087)",57,36,9,10,,2,,
"Hogares privados con servicio doméstico (088)",25,,,,,,25,
"Actividad economica no especificada (090)",20,4,6,3,,7,,
"Desocupado (091)",26,,,,,,,26
"Hombres (092)",536,163,145,177,10,20,1,20
"Agric., ganadería, caza y silvicultura (093)",84,,29,42,6,7,,
"Explotación de minas y canteras (095)",2,,2,,,,,
"Industrias manufactureras (096)",104,,41,59,3,1,,
"Suministro de electricidad, gas y agua (097)",8,1,7,,,,,
"Construcción (098)",48,2,39,6,1,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",60,8,3,41,,8,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",11,1,2,8,,,,
"Comercio al por mayor (101)",2,,,1,,1,,
"Comercio al por menor (102)",47,7,1,32,,7,,
"Hoteles y restaurantes (103)",14,5,1,6,,2,,
"Trans., almac. y comunicaciones (104)",14,4,2,8,,,,
"Activid.inmobil., empres. y alquileres (106)",25,18,4,3,,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",19,15,4,,,,,
"Enseñanza (108)",83,77,,6,,,,
"Servicios sociales y de salud (109)",7,6,1,,,,,
"Otras activ. serv.comun.soc y personales (110)",40,26,8,6,,,,
"Hogares privados con servicio doméstico (111)",1,,,,,,1,
"Actividad economica no especificada (113)",7,1,4,,,2,,
"Desocupado (114)",20,,,,,,,20
"Mujeres (115)",311,166,16,70,1,28,24,6
"Agric., ganadería, caza y silvicultura (116)",6,,2,,,4,,
"Industrias manufactureras (119)",17,,8,9,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (122)",50,7,,33,,10,,
"Comercio al por mayor (124)",1,,,1,,,,
"Comercio al por menor (125)",49,7,,32,,10,,
"Hoteles y restaurantes (126)",34,8,2,16,1,7,,
"Trans., almac. y comunicaciones (127)",3,3,,,,,,
"Activid.inmobil., empres. y alquileres (129)",14,14,,,,,,
"Admin.pub. y defensa; p. segur.soc.afil (130)",7,6,1,,,,,
"Enseñanza (131)",75,70,,5,,,,
"Servicios sociales y de salud (132)",45,45,,,,,,
"Otras activ. serv.comun.soc y personales (133)",17,10,1,4,,2,,
"Hogares privados con servicio doméstico (134)",24,,,,,,24,
"Actividad economica no especificada (136)",13,3,2,3,,5,,
"Desocupado (137)",6,,,,,,,6
,,,,,,,,
