"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia CAÑETE (000)",76056,72659,21227,11776,11537,8707,10038,5059,4315,3397
"Católica (001)",68028,64969,18970,10740,10454,7814,8873,4426,3692,3059
"Cristiana/Evangélica (002)",5771,5549,1552,711,759,662,886,482,497,222
"Otra (003)",1492,1419,449,189,214,151,201,117,98,73
"Ninguna (004)",765,722,256,136,110,80,78,34,28,43
,,,,,,,,,,
"URBANA (006)",64369,61352,17887,10150,9929,7422,8465,4160,3339,3017
"Católica (007)",57533,54813,15956,9260,9000,6658,7471,3626,2842,2720
"Cristiana/Evangélica (008)",4876,4686,1320,605,649,554,753,412,393,190
"Otra (009)",1293,1226,387,168,185,139,175,93,79,67
"Ninguna (010)",667,627,224,117,95,71,66,29,25,40
,,,,,,,,,,
"RURAL (012)",11687,11307,3340,1626,1608,1285,1573,899,976,380
"Católica (013)",10495,10156,3014,1480,1454,1156,1402,800,850,339
"Cristiana/Evangélica (014)",895,863,232,106,110,108,133,70,104,32
"Otra (015)",199,193,62,21,29,12,26,24,19,6
"Ninguna (016)",98,95,32,19,15,9,12,5,3,3
