"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia YAULI (000)",18796,10085,2233,3441,3037
"Sin nivel (001)",351,305,21,17,8
"Educación inicial (002)",8,8,,,
"Primaria (003)",2544,2014,158,212,160
"Secundaria (004)",8529,4635,1015,1576,1303
"Superior no univ. incompleta (005)",1851,952,239,383,277
"Superior no univ. completa (006)",2329,982,354,520,473
"Superior univ. incompleta (007)",986,479,129,196,182
"Superior univ. completa (008)",2198,710,317,537,634
"De 06 a 14 años (010)",103,96,5,1,1
"Sin nivel (011)",1,1,,,
"Primaria (013)",57,54,2,1,
"Secundaria (014)",45,41,3,,1
"De 15 a 29 años (020)",5670,3147,806,868,849
"Sin nivel (021)",32,27,2,3,
"Educación inicial (022)",2,2,,,
"Primaria (023)",356,280,26,32,18
"Secundaria (024)",2751,1619,382,376,374
"Superior no univ. incompleta (025)",753,444,101,123,85
"Superior no univ. completa (026)",847,385,140,157,165
"Superior univ. incompleta (027)",334,183,46,53,52
"Superior univ. completa (028)",595,207,109,124,155
"De 30 a 44 años (030)",7577,3764,887,1551,1375
"Sin nivel (031)",94,76,7,7,4
"Educación inicial (032)",6,6,,,
"Primaria (033)",734,542,54,79,59
"Secundaria (034)",3517,1825,394,698,600
"Superior no univ. incompleta (035)",725,347,92,163,123
"Superior no univ. completa (036)",1049,438,154,250,207
"Superior univ. incompleta (037)",432,206,54,84,88
"Superior univ. completa (038)",1020,324,132,270,294
"De 45 a 64 años (040)",4896,2588,516,1004,788
"Sin nivel (041)",138,120,7,7,4
"Primaria (043)",1082,839,71,97,75
"Secundaria (044)",2123,1073,232,499,319
"Superior no univ. incompleta (045)",362,154,46,95,67
"Superior no univ. completa (046)",423,153,59,111,100
"Superior univ. incompleta (047)",211,86,29,57,39
"Superior univ. completa (048)",557,163,72,138,184
"De 65 y más años (050)",550,490,19,17,24
"Sin nivel (051)",86,81,5,,
"Primaria (053)",315,299,5,3,8
"Secundaria (054)",93,77,4,3,9
"Superior no univ. incompleta (055)",11,7,,2,2
"Superior no univ. completa (056)",10,6,1,2,1
"Superior univ. incompleta (057)",9,4,,2,3
"Superior univ. completa (058)",26,16,4,5,1
,,,,,
"URBANA (060)",16261,8499,1960,3030,2772
