"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia ICA (000)",135303,1209,47528,49388,32394,4784
"Agric., ganadería, caza y silvicultura (001)",33194,194,14204,11082,6417,1297
"Pesca (002)",154,,43,46,59,6
"Explotación de minas y canteras (003)",977,8,352,391,199,27
"Industrias manufactureras (004)",10023,87,3816,3707,2055,358
"Suministro de electricidad, gas y agua (005)",375,,79,130,157,9
"Construcción (006)",7625,71,2499,2803,1953,299
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",24124,463,7430,8656,6395,1180
"Venta, mant.y rep. veh.autom.y motoc. (008)",2473,28,913,861,566,105
"Comercio al por mayor (009)",2417,22,969,970,411,45
"Comercio al por menor (010)",19234,413,5548,6825,5418,1030
"Hoteles y restaurantes (011)",5456,106,2076,1675,1396,203
"Trans., almac. y comunicaciones (012)",12884,50,4971,5059,2479,325
"Intermediación financiera (013)",1027,,424,450,142,11
"Activid.inmobil., empres. y alquileres (014)",7608,2,2505,3055,1866,180
"Admin.pub. y defensa; p. segur.soc afil (015)",4224,,793,1789,1555,87
"Enseñanza (016)",9869,,1591,4507,3548,223
"Servicios sociales y de salud (017)",3917,1,774,1719,1351,72
"Otras activ. serv.comun.soc y personales (018)",3169,80,1037,1113,790,149
"Hogares privados con servicio doméstico (019)",2926,79,1316,819,654,58
"Organiz. y organos extraterritoriales (020)",7,,2,3,2,
"Actividad economica no especificada (021)",2403,18,838,881,536,130
"Desocupado (022)",5341,50,2778,1503,840,170
"Hombres (023)",83850,817,29540,29245,20565,3683
"Agric., ganadería, caza y silvicultura (024)",21592,138,9127,6558,4623,1146
"Pesca (025)",149,,42,42,59,6
"Explotación de minas y canteras (026)",913,4,328,364,190,27
"Industrias manufactureras (027)",6403,72,2538,2183,1313,297
"Suministro de electricidad, gas y agua (028)",317,,66,105,138,8
"Construcción (029)",7392,67,2404,2714,1909,298
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",12461,315,3982,4202,3267,695
"Venta, mant.y rep. veh.autom.y motoc. (031)",2222,27,799,768,529,99
"Comercio al por mayor (032)",1538,18,625,608,258,29
"Comercio al por menor (033)",8701,270,2558,2826,2480,567
"Hoteles y restaurantes (034)",1830,43,725,536,438,88
"Trans., almac. y comunicaciones (035)",12093,43,4558,4801,2371,320
"Intermediación financiera (036)",570,,202,261,96,11
"Activid.inmobil., empres. y alquileres (037)",5559,2,1692,2227,1470,168
