"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia AYABACA (000)",45560,44409,13653,4205,4155,3904,6243,4834,7415,1151
"Católica (001)",40222,39213,12151,3785,3703,3440,5508,4175,6451,1009
"Cristiana/Evangélica (002)",4549,4431,1240,347,380,391,649,572,852,118
"Otra (003)",418,405,127,33,33,36,46,51,79,13
"Ninguna (004)",371,360,135,40,39,37,40,36,33,11
,,,,,,,,,,
"URBANA (006)",6125,5899,1961,766,751,630,770,461,560,226
"Católica (007)",5586,5376,1787,711,698,572,693,421,494,210
"Cristiana/Evangélica (008)",424,414,130,41,44,49,65,29,56,10
"Otra (009)",85,80,28,9,6,7,10,10,10,5
"Ninguna (010)",30,29,16,5,3,2,2,1,,1
,,,,,,,,,,
"RURAL (012)",39435,38510,11692,3439,3404,3274,5473,4373,6855,925
"Católica (013)",34636,33837,10364,3074,3005,2868,4815,3754,5957,799
"Cristiana/Evangélica (014)",4125,4017,1110,306,336,342,584,543,796,108
"Otra (015)",333,325,99,24,27,29,36,41,69,8
"Ninguna (016)",341,331,119,35,36,35,38,35,33,10
