"CUADRO Nº 9: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia LUYA (000)",15711,379,4982,5034,3759,1557
"Empleado (001)",1449,2,369,794,267,17
"Obrero (002)",1963,38,812,603,408,102
"Trabajador independiente (003)",8401,48,1938,2782,2459,1174
"Empleador o patrono (004)",666,2,167,216,199,82
"Trabajador familiar no remunerado (005)",2732,264,1491,523,315,139
"Trabajador del hogar (006)",500,25,205,116,111,43
"Hombres (008)",12650,322,4098,3922,3027,1281
"Empleado (009)",753,1,167,412,164,9
"Obrero (010)",1693,31,737,525,323,77
"Trabajador independiente (011)",7392,44,1703,2433,2171,1041
"Empleador o patrono (012)",625,2,160,204,186,73
"Trabajador familiar no remunerado (013)",2168,239,1324,344,181,80
"Trabajador del hogar (014)",19,5,7,4,2,1
"Mujeres (016)",3061,57,884,1112,732,276
"Empleado (017)",696,1,202,382,103,8
"Obrero (018)",270,7,75,78,85,25
"Trabajador independiente (019)",1009,4,235,349,288,133
"Empleador o patrono (020)",41,,7,12,13,9
"Trabajador familiar no remunerado (021)",564,25,167,179,134,59
"Trabajador del hogar (022)",481,20,198,112,109,42
,,,,,,
"URBANA (024)",6785,146,1890,2326,1728,695
"Empleado (025)",1045,2,232,580,218,13
"Obrero (026)",896,18,363,280,187,48
"Trabajador independiente (027)",3438,14,705,1148,1064,507
"Empleador o patrono (028)",286,2,61,91,96,36
"Trabajador familiar no remunerado (029)",861,99,412,174,112,64
"Trabajador del hogar (030)",259,11,117,53,51,27
"Hombres (032)",4974,123,1408,1630,1283,530
"Empleado (033)",535,1,103,293,132,6
"Obrero (034)",762,15,331,238,145,33
"Trabajador independiente (035)",2842,13,580,937,880,432
"Empleador o patrono (036)",262,2,58,84,87,31
"Trabajador familiar no remunerado (037)",565,88,333,78,38,28
"Trabajador del hogar (038)",8,4,3,,1,
"Mujeres (040)",1811,23,482,696,445,165
"Empleado (041)",510,1,129,287,86,7
"Obrero (042)",134,3,32,42,42,15
"Trabajador independiente (043)",596,1,125,211,184,75
"Empleador o patrono (044)",24,,3,7,9,5
"Trabajador familiar no remunerado (045)",296,11,79,96,74,36
"Trabajador del hogar (046)",251,7,114,53,50,27
,,,,,,
"RURAL (048)",8926,233,3092,2708,2031,862
"Empleado (049)",404,,137,214,49,4
"Obrero (050)",1067,20,449,323,221,54
"Trabajador independiente (051)",4963,34,1233,1634,1395,667
"Empleador o patrono (052)",380,,106,125,103,46
"Trabajador familiar no remunerado (053)",1871,165,1079,349,203,75
"Trabajador del hogar (054)",241,14,88,63,60,16
"Hombres (056)",7676,199,2690,2292,1744,751
"Empleado (057)",218,,64,119,32,3
"Obrero (058)",931,16,406,287,178,44
"Trabajador independiente (059)",4550,31,1123,1496,1291,609
"Empleador o patrono (060)",363,,102,120,99,42
"Trabajador familiar no remunerado (061)",1603,151,991,266,143,52
"Trabajador del hogar (062)",11,1,4,4,1,1
"Mujeres (064)",1250,34,402,416,287,111
"Empleado (065)",186,,73,95,17,1
"Obrero (066)",136,4,43,36,43,10
"Trabajador independiente (067)",413,3,110,138,104,58
"Empleador o patrono (068)",17,,4,5,4,4
"Trabajador familiar no remunerado (069)",268,14,88,83,60,23
"Trabajador del hogar (070)",230,13,84,59,59,15
