"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia PADRE ABAD (000)",20103,1032,25,8589,7813,685,822,397,740
"Empleado (001)",2663,27,2,292,846,244,543,148,561
"Obrero (002)",3986,184,3,1665,1848,118,77,68,23
"Trabajador independiente (003)",9938,590,8,4795,3831,274,168,149,123
"Empleador o patrono (004)",528,17,,236,219,15,10,14,17
"Trabajador familiar no remunerado (005)",2623,194,11,1435,904,27,20,17,15
"Trabajador del hogar (006)",365,20,1,166,165,7,4,1,1
"Hombres (008)",15230,613,14,6483,6222,520,580,280,518
"Empleado (009)",1683,7,,117,543,175,369,92,380
"Obrero (010)",3445,115,3,1384,1680,108,74,62,19
"Trabajador independiente (011)",8155,412,4,4007,3200,210,119,104,99
"Empleador o patrono (012)",436,14,,198,182,12,6,11,13
"Trabajador familiar no remunerado (013)",1463,61,7,754,599,14,11,11,6
"Trabajador del hogar (014)",48,4,,23,18,1,1,,1
"Mujeres (016)",4873,419,11,2106,1591,165,242,117,222
"Empleado (017)",980,20,2,175,303,69,174,56,181
"Obrero (018)",541,69,,281,168,10,3,6,4
"Trabajador independiente (019)",1783,178,4,788,631,64,49,45,24
"Empleador o patrono (020)",92,3,,38,37,3,4,3,4
"Trabajador familiar no remunerado (021)",1160,133,4,681,305,13,9,6,9
"Trabajador del hogar (022)",317,16,1,143,147,6,3,1,
,,,,,,,,,
"URBANA (024)",10691,336,12,3437,4657,546,718,328,657
"Empleado (025)",2342,24,1,240,741,213,486,129,508
"Obrero (026)",2351,81,2,822,1206,99,68,50,23
"Trabajador independiente (027)",4613,175,3,1768,2099,204,138,125,101
"Empleador o patrono (028)",298,5,,100,146,11,9,13,14
"Trabajador familiar no remunerado (029)",840,39,5,401,345,16,14,10,10
"Trabajador del hogar (030)",247,12,1,106,120,3,3,1,1
"Hombres (032)",7680,169,6,2364,3518,425,513,227,458
"Empleado (033)",1503,6,,95,474,158,341,84,345
"Obrero (034)",2048,52,2,679,1090,95,66,45,19
"Trabajador independiente (035)",3448,94,,1316,1628,155,92,83,80
"Empleador o patrono (036)",228,5,,70,118,9,6,10,10
"Trabajador familiar no remunerado (037)",425,10,4,191,197,8,7,5,3
"Trabajador del hogar (038)",28,2,,13,11,,1,,1
"Mujeres (040)",3011,167,6,1073,1139,121,205,101,199
"Empleado (041)",839,18,1,145,267,55,145,45,163
"Obrero (042)",303,29,,143,116,4,2,5,4
"Trabajador independiente (043)",1165,81,3,452,471,49,46,42,21
"Empleador o patrono (044)",70,,,30,28,2,3,3,4
"Trabajador familiar no remunerado (045)",415,29,1,210,148,8,7,5,7
"Trabajador del hogar (046)",219,10,1,93,109,3,2,1,
,,,,,,,,,
"RURAL (048)",9412,696,13,5152,3156,139,104,69,83
"Empleado (049)",321,3,1,52,105,31,57,19,53
"Obrero (050)",1635,103,1,843,642,19,9,18,
"Trabajador independiente (051)",5325,415,5,3027,1732,70,30,24,22
"Empleador o patrono (052)",230,12,,136,73,4,1,1,3
"Trabajador familiar no remunerado (053)",1783,155,6,1034,559,11,6,7,5
"Trabajador del hogar (054)",118,8,,60,45,4,1,,
"Hombres (056)",7550,444,8,4119,2704,95,67,53,60
"Empleado (057)",180,1,,22,69,17,28,8,35
"Obrero (058)",1397,63,1,705,590,13,8,17,
"Trabajador independiente (059)",4707,318,4,2691,1572,55,27,21,19
"Empleador o patrono (060)",208,9,,128,64,3,,1,3
"Trabajador familiar no remunerado (061)",1038,51,3,563,402,6,4,6,3
"Trabajador del hogar (062)",20,2,,10,7,1,,,
"Mujeres (064)",1862,252,5,1033,452,44,37,16,23
"Empleado (065)",141,2,1,30,36,14,29,11,18
"Obrero (066)",238,40,,138,52,6,1,1,
"Trabajador independiente (067)",618,97,1,336,160,15,3,3,3
"Empleador o patrono (068)",22,3,,8,9,1,1,,
"Trabajador familiar no remunerado (069)",745,104,3,471,157,5,2,1,2
"Trabajador del hogar (070)",98,6,,50,38,3,1,,
