"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia ACOBAMBA (000)",14921,123,5966,4745,1242,442,200,85,18,,2100
"Catolica (001)",11023,100,4260,3449,949,357,153,68,13,,1674
"Cristiana / Evangelica (002)",3749,22,1638,1250,287,83,46,17,5,,401
"Otra (003)",73,1,33,22,4,,1,,,,12
"Ninguna (004)",76,,35,24,2,2,,,,,13
,,,,,,,,,,,
"URBANA (006)",4851,30,1674,1436,523,201,89,48,5,,845
"Catolica (007)",3946,27,1342,1156,434,161,74,39,4,,709
"Cristiana / Evangelica (008)",855,2,315,268,85,38,15,9,1,,122
"Otra (009)",26,1,9,7,3,,,,,,6
"Ninguna (010)",24,,8,5,1,2,,,,,8
,,,,,,,,,,,
"RURAL (012)",10070,93,4292,3309,719,241,111,37,13,,1255
"Catolica (013)",7077,73,2918,2293,515,196,79,29,9,,965
"Cristiana / Evangelica (014)",2894,20,1323,982,202,45,31,8,4,,279
"Otra (015)",47,,24,15,1,,1,,,,6
"Ninguna (016)",52,,27,19,1,,,,,,5
