"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia CUSCO (000)",367791,364570,2041,1180
"Hombres (001)",177553,176091,850,612
"Mujeres (002)",190238,188479,1191,568
"Menores de 1 año (003)",5761,4940,514,307
"Hombres (004)",2880,2460,270,150
"Mujeres (005)",2881,2480,244,157
"De 1 a 5 años (006)",32697,30934,939,824
"Hombres (007)",16734,15833,455,446
"Mujeres (008)",15963,15101,484,378
"De 6 a 14 años (009)",64267,64208,46,13
"Hombres (010)",32390,32366,19,5
"Mujeres (011)",31877,31842,27,8
"De 15 a 29 años (012)",113695,113671,16,8
"Hombres (013)",54443,54434,3,6
"Mujeres (014)",59252,59237,13,2
"De 30 a 44 años (015)",77883,77853,28,2
"Hombres (016)",36497,36492,5,
"Mujeres (017)",41386,41361,23,2
"De 45 a 64 años (018)",53533,53426,104,3
"Hombres (019)",25362,25348,14,
"Mujeres (020)",28171,28078,90,3
"De 65 a más años (021)",19955,19538,394,23
"Hombres (022)",9247,9158,84,5
"Mujeres (023)",10708,10380,310,18
,,,,
"URBANA (024)",351780,348766,1917,1097
"Hombres (025)",169496,168116,811,569
"Mujeres (026)",182284,180650,1106,528
"Menores de 1 año (027)",5471,4686,498,287
"Hombres (028)",2725,2326,261,138
"Mujeres (029)",2746,2360,237,149
"De 1 a 5 años (030)",30754,29091,896,767
"Hombres (031)",15771,14917,438,416
"Mujeres (032)",14983,14174,458,351
"De 6 a 14 años (033)",60309,60254,45,10
"Hombres (034)",30361,30339,18,4
"Mujeres (035)",29948,29915,27,6
"De 15 a 29 años (036)",109923,109901,14,8
"Hombres (037)",52488,52480,2,6
"Mujeres (038)",57435,57421,12,2
"De 30 a 44 años (039)",74636,74610,24,2
"Hombres (040)",34879,34875,4,
"Mujeres (041)",39757,39735,20,2
"De 45 a 64 años (042)",51545,51452,91,2
"Hombres (043)",24364,24351,13,
"Mujeres (044)",27181,27101,78,2
"De 65 a más años (045)",19142,18772,349,21
"Hombres (046)",8908,8828,75,5
"Mujeres (047)",10234,9944,274,16
,,,,
"RURAL (048)",16011,15804,124,83
"Hombres (049)",8057,7975,39,43
"Mujeres (050)",7954,7829,85,40
"Menores de 1 año (051)",290,254,16,20
"Hombres (052)",155,134,9,12
"Mujeres (053)",135,120,7,8
"De 1 a 5 años (054)",1943,1843,43,57
"Hombres (055)",963,916,17,30
"Mujeres (056)",980,927,26,27
"De 6 a 14 años (057)",3958,3954,1,3
"Hombres (058)",2029,2027,1,1
"Mujeres (059)",1929,1927,,2
"De 15 a 29 años (060)",3772,3770,2,
"Hombres (061)",1955,1954,1,
"Mujeres (062)",1817,1816,1,
"De 30 a 44 años (063)",3247,3243,4,
"Hombres (064)",1618,1617,1,
"Mujeres (065)",1629,1626,3,
"De 45 a 64 años (066)",1988,1974,13,1
"Hombres (067)",998,997,1,
"Mujeres (068)",990,977,12,1
"De 65 a más años (069)",813,766,45,2
"Hombres (070)",339,330,9,
"Mujeres (071)",474,436,36,2
