"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia JUNIN (000)",28724,4687,657,10139,8300,1135,1364,855,1587
"Quechua (001)",4418,1769,9,1831,547,53,68,41,100
"Aymara (002)",24,3,2,6,8,2,,,3
"Ashaninca (003)",2,1,,1,,,,,
"Otra lengua nativa (004)",6,1,,2,3,,,,
"Castellano (005)",24254,2899,646,8294,7741,1080,1296,814,1484
"Es sordomudo/a (007)",20,14,,5,1,,,,
"Hombres (009)",13863,1447,362,5013,4471,585,624,474,887
"Quechua (010)",1970,406,2,1011,374,45,36,27,69
"Aymara (011)",16,1,2,2,6,2,,,3
"Otra lengua nativa (013)",5,,,2,3,,,,
"Castellano (014)",11862,1033,358,3995,4088,538,588,447,815
"Es sordomudo/a (016)",10,7,,3,,,,,
"Mujeres (018)",14861,3240,295,5126,3829,550,740,381,700
"Quechua (019)",2448,1363,7,820,173,8,32,14,31
"Aymara (020)",8,2,,4,2,,,,
"Ashaninca (021)",2,1,,1,,,,,
"Otra lengua nativa (022)",1,1,,,,,,,
"Castellano (023)",12392,1866,288,4299,3653,542,708,367,669
"Es sordomudo/a (025)",10,7,,2,1,,,,
,,,,,,,,,
"URBANA (027)",20255,2859,503,6343,6244,967,1214,759,1366
"Quechua (028)",2220,879,1,824,318,39,53,32,74
"Aymara (029)",15,1,1,4,5,1,,,3
"Ashaninca (030)",1,1,,,,,,,
"Otra lengua nativa (031)",6,1,,2,3,,,,
"Castellano (032)",18000,1970,501,5508,5917,927,1161,727,1289
"Es sordomudo/a (034)",13,7,,5,1,,,,
"Hombres (036)",9558,840,278,3040,3218,479,547,420,736
"Quechua (037)",929,159,,422,215,34,29,23,47
"Aymara (038)",11,1,1,1,4,1,,,3
"Otra lengua nativa (040)",5,,,2,3,,,,
"Castellano (041)",8608,678,277,2612,2996,444,518,397,686
"Es sordomudo/a (043)",5,2,,3,,,,,
"Mujeres (045)",10697,2019,225,3303,3026,488,667,339,630
"Quechua (046)",1291,720,1,402,103,5,24,9,27
"Aymara (047)",4,,,3,1,,,,
"Ashaninca (048)",1,1,,,,,,,
"Otra lengua nativa (049)",1,1,,,,,,,
"Castellano (050)",9392,1292,224,2896,2921,483,643,330,603
"Es sordomudo/a (052)",8,5,,2,1,,,,
,,,,,,,,,
"RURAL (054)",8469,1828,154,3796,2056,168,150,96,221
"Quechua (055)",2198,890,8,1007,229,14,15,9,26
"Aymara (056)",9,2,1,2,3,1,,,
"Ashaninca (057)",1,,,1,,,,,
"Castellano (059)",6254,929,145,2786,1824,153,135,87,195
"Es sordomudo/a (061)",7,7,,,,,,,
"Hombres (063)",4305,607,84,1973,1253,106,77,54,151
"Quechua (064)",1041,247,2,589,159,11,7,4,22
"Aymara (065)",5,,1,1,2,1,,,
"Castellano (068)",3254,355,81,1383,1092,94,70,50,129
"Es sordomudo/a (070)",5,5,,,,,,,
"Mujeres (072)",4164,1221,70,1823,803,62,73,42,70
"Quechua (073)",1157,643,6,418,70,3,8,5,4
"Aymara (074)",4,2,,1,1,,,,
"Ashaninca (075)",1,,,1,,,,,
"Castellano (077)",3000,574,64,1403,732,59,65,37,66
"Es sordomudo/a (079)",2,2,,,,,,,
