"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia PUNO (000)",97848,12266,27017,23832,34733
"Asiste actualmente (001)",70328,5079,25792,22256,17201
"No asiste (002)",27520,7187,1225,1576,17532
"Hombres (004)",49881,6271,13989,12279,17342
"Asiste actualmente (005)",36887,2567,13377,11611,9332
"No asiste (006)",12994,3704,612,668,8010
"Mujeres (008)",47967,5995,13028,11553,17391
"Asiste actualmente (009)",33441,2512,12415,10645,7869
"No asiste (010)",14526,3483,613,908,9522
,,,,,
"URBANA (012)",59755,6998,15801,14158,22798
"Asiste actualmente (013)",45751,3365,15264,13514,13608
"No asiste (014)",14004,3633,537,644,9190
"Hombres (016)",30318,3526,8127,7218,11447
"Asiste actualmente (017)",23658,1686,7862,6928,7182
"No asiste (018)",6660,1840,265,290,4265
"Mujeres (020)",29437,3472,7674,6940,11351
"Asiste actualmente (021)",22093,1679,7402,6586,6426
"No asiste (022)",7344,1793,272,354,4925
,,,,,
"RURAL (024)",38093,5268,11216,9674,11935
"Asiste actualmente (025)",24577,1714,10528,8742,3593
"No asiste (026)",13516,3554,688,932,8342
"Hombres (028)",19563,2745,5862,5061,5895
"Asiste actualmente (029)",13229,881,5515,4683,2150
"No asiste (030)",6334,1864,347,378,3745
"Mujeres (032)",18530,2523,5354,4613,6040
"Asiste actualmente (033)",11348,833,5013,4059,1443
"No asiste (034)",7182,1690,341,554,4597
