"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia REQUENA (000)",20730,63,1527,238,343,1685,8239,606,625,6723,56,625
"Agric., ganadería, caza y silvicultura (001)",12150,,,11,,1,7978,,4,4156,,
"Pesca (002)",1208,,,,1,,261,,,946,,
"Explotación de minas y canteras (003)",7,,1,,1,,,5,,,,
"Industrias manufactureras (004)",535,,3,10,1,5,,476,26,14,,
"Suministro de electricidad, gas y agua (005)",28,,1,2,3,,,5,4,13,,
"Construcción (006)",286,,3,1,2,,,17,186,77,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1846,,4,20,1,1341,,87,4,389,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",78,,,2,,16,,57,2,1,,
"Comercio al por mayor (009)",73,,1,3,,67,,,,2,,
"Comercio al por menor (010)",1695,,3,15,1,1258,,30,2,386,,
"Hoteles y restaurantes (011)",476,,,7,5,286,,,,178,,
"Trans., almac. y comunicaciones (012)",515,1,1,8,11,1,,4,387,102,,
"Intermediación financiera (013)",12,1,2,1,7,,,,,1,,
"Activid.inmobil., empres. y alquileres (014)",148,,19,26,40,18,,,2,43,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",448,28,21,25,206,9,,6,10,87,56,
"Enseñanza (016)",1491,32,1420,9,18,,,,,12,,
"Servicios sociales y de salud (017)",129,,35,74,3,9,,1,,7,,
"Otras activ. serv.comun.soc y personales (018)",200,1,15,36,8,15,,5,2,118,,
"Hogares privados con servicio doméstico (019)",578,,,,,,,,,578,,
"Actividad economica no especificada (021)",673,,2,8,36,,,,,2,,625
"Hombres (022)",14536,50,845,167,238,760,7216,502,608,3763,55,332
"Agric., ganadería, caza y silvicultura (023)",9238,,,9,,,6963,,4,2262,,
"Pesca (024)",1150,,,,1,,253,,,896,,
"Explotación de minas y canteras (025)",7,,1,,1,,,5,,,,
"Industrias manufactureras (026)",424,,3,9,1,1,,378,18,14,,
"Suministro de electricidad, gas y agua (027)",27,,1,2,3,,,5,4,12,,
