"CUADRO Nº 8: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR MATERIAL PREDOMINANTE EN LOS PISOS DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"MATERIAL PREDOMINANTE EN LOS PISOS DE LA VIVIENDA",,,,,,
,,TIERRA,CEMENTO,"LOSETAS, TERRAZOS, CERÁMICOS O SIMILARES","PARQUET O MADERA PULIDA","MADERA (PONA, TOR-NILLO, ETC.)","LÁMINAS ASFÁL-TICAS, VINÍLICOS O SIMILARES","OTRO MATERIAL"
,,,,,,,,
"Provincia CANDARAVE",,,,,,,,
"Viviendas particulares (001)",2810,2352,445,3,1,4,2,3
"Ocupantes presentes (002)",8197,6883,1279,8,1,13,5,8
"Casa independiente",,,,,,,,
"Viviendas particulares (004)",2625,2190,425,1,1,3,2,3
"Ocupantes presentes (005)",7785,6534,1224,3,1,10,5,8
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Viviendas particulares (010)",2,,2,,,,,
"Ocupantes presentes (011)",6,,6,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Viviendas particulares (013)",37,21,13,2,,1,,
"Ocupantes presentes (014)",101,54,39,5,,3,,
"Choza o cabaña",,,,,,,,
"Viviendas particulares (016)",138,136,2,,,,,
"Ocupantes presentes (017)",289,286,3,,,,,
"Vivienda improvisada",,,,,,,,
"Viviendas particulares (019)",3,3,,,,,,
"Ocupantes presentes (020)",4,4,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (022)",5,2,3,,,,,
"Ocupantes presentes (023)",12,5,7,,,,,
"Otro tipo",,,,,,,,
,,,,,,,,
URBANA,,,,,,,,
"Viviendas particulares (028)",1767,1419,336,3,1,3,2,3
"Ocupantes presentes (029)",5260,4260,968,8,1,10,5,8
"Casa independiente",,,,,,,,
"Viviendas particulares (031)",1721,1394,318,1,1,2,2,3
"Ocupantes presentes (032)",5138,4198,916,3,1,7,5,8
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Viviendas particulares (037)",2,,2,,,,,
"Ocupantes presentes (038)",6,,6,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Viviendas particulares (040)",37,21,13,2,,1,,
"Ocupantes presentes (041)",101,54,39,5,,3,,
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Viviendas particulares (046)",3,3,,,,,,
"Ocupantes presentes (047)",4,4,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (049)",4,1,3,,,,,
"Ocupantes presentes (050)",11,4,7,,,,,
"Otro tipo",,,,,,,,
,,,,,,,,
RURAL,,,,,,,,
"Viviendas particulares (055)",1043,933,109,,,1,,
"Ocupantes presentes (056)",2937,2623,311,,,3,,
"Casa independiente",,,,,,,,
"Viviendas particulares (058)",904,796,107,,,1,,
"Ocupantes presentes (059)",2647,2336,308,,,3,,
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Viviendas particulares (070)",138,136,2,,,,,
"Ocupantes presentes (071)",289,286,3,,,,,
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (076)",1,1,,,,,,
"Ocupantes presentes (077)",1,1,,,,,,
"Otro tipo",,,,,,,,
